id,text,question_code_type,tags,class
46738664,string str to decrypt 6t8z5b kl5yb jl input str to decrypt get bytes decrypt cipher cipher get instance desede ecb no padding init cipher decrypt mode key spec output final input string string output system println string,code_block,"['java', 'des', '3des']",3des
13694077,encrypting block level string decrypt3des pcbc input exception system println length input derypt input length block output block input length idx idx p1 block set block xor triple des get3desdecryption arrays copy of range input idx idx iv output block system println decrypt length output get block length system println initial decoded block string output get block utf 16be p2 block set block xor triple des get3desdecryption arrays copy of range input idx idx arrays copy of range input idx idx output get block output block system println decrypt length output get block length system println next decoded block string output get block utf 16be null xor pt text output pt length output length output text pt output xor pt pt ct output pt length output length output pt pt ct output,function,"['java', 'encryption', 'cryptography']",3des
40369773,string double tripple desede string str to encode ref string sym key ref icrypto transform cipher input encoding utf8 get bytes desede 3des encryption railo cfml input encoding utf8 get bytes str to encode key convert from base64string ru8fem xh tm9jwd gdhb 4sw key convert from base64string sym key algorithm algorithm mode cipher mode ecb algorithm block size algorithm key size key algorithm key key original algorithm key key copy to algorithm key cipher algorithm create encryptor encrypted cipher transform final block input input length debug write line encrypted net convert to base64string encrypted convert to base64string encrypted exception ex ex message,invalid,"['java', 'c#', 'bouncycastle', '3des']",3des
22285670,java security spec javax crypto javax crypto secret key javax crypto secret key factory javax crypto spec desede key spec sun misc base64decoder sun misc base64encoder desede encryption main string args secret key k1 generate deskey secret key k2 generate deskey secret key k3 generate deskey string first encryption des encryption plaintext k1 string decryption des decryption first encryption k2 string second encryption des encryption decryption k3 system println second encryption second encryption system println first encryption first encryption system println decryption decryption secret key generate deskey key generator key gen null key gen key generator get instance desede exception ex ex print stack trace key gen init key length two keys three keys secret key secret key key gen generate key secret key string des encryption string str to encrypt secret key des key cipher cipher cipher get instance desede ecb pkcs5padding cipher init cipher encrypt mode des key string encrypted string base64encoder encode cipher final str to encrypt get bytes encrypted string exception ex ex print stack trace null string des decryption string str to decrypt secret key des key cipher cipher cipher get instance desede ecb pkcs5padding cipher init cipher decrypt mode des key string decrypted string string cipher final base64decoder decode buffer str to decrypt decrypted string exception ex ex print stack trace null,class,['java'],3des
26832481,triple des sun misc base64decoder decoder sun misc base64decoder sun misc base64encoder encoder sun misc base64encoder main string args cipher cipher get instance desede exception system err println installing sun jce provider provider sunjce com sun crypto provider sun jce security add provider sunjce file key file file 3des keygen txt write key generate key key file system println after writing file secret key key read key key file system println secret key key string encrypted mssg encrypt key afda system println encrypted mssg encrypted mssg string decrypted mssg decrypt key encrypted mssg system println decrypted mssg decrypted mssg exception system err println system err println usage java triple des get name keyfile secret key generate key no such algorithm exception key generator keygen key generator get instance desede system println keygen generate key keygen generate key write key secret key key file ioexception no such algorithm exception invalid key spec exception secret key factory keyfactory secret key factory get instance desede desede key spec keyspec desede key spec keyfactory get key spec key desede key spec rawkey keyspec get key file output stream file output stream write rawkey close secret key read key file ioexception no such algorithm exception invalid key exception invalid key spec exception data input stream data input stream file input stream rawkey length read fully rawkey close desede key spec keyspec desede key spec rawkey secret key factory keyfactory secret key factory get instance desede secret key key keyfactory generate secret keyspec key secret key read key rawkey ioexception no such algorithm exception invalid key exception invalid key spec exception data input stream data input stream file input stream rawkey length read fully rawkey close desede key spec keyspec desede key spec rawkey secret key factory keyfactory secret key factory get instance desede secret key key keyfactory generate secret keyspec key string encrypt secret key key string clear data no such algorithm exception invalid key exception no such padding exception ioexception exception system println inside encrypt system println keyyyyy key cipher cipher cipher get instance desede cipher init cipher encrypt mode key cleartext clear data get bytes ascii ciphertext cipher final cleartext encoder encode ciphertext string decrypt secret key key string encrypted data no such algorithm exception invalid key exception ioexception no such padding exception bad padding exception exception cipher cipher cipher get instance desede cipher init cipher decrypt mode key dec decoder decode buffer encrypted data clearbytes cipher final dec string clearbytes ascii,class,"['java', 'encryption', 'tripledes']",3des
28590279,javax crypto cipher javax crypto secret key javax crypto secret key factory javax crypto spec desede key spec javax crypto spec iv parameter spec triple des2 string plain text testdatatestdatatestdata string shared key main string args exception string algorithm desede string transformation desede cbc pkcs5padding key value shared key get bytes utf desede key spec key spec desede key spec key value iv parameter spec iv iv parameter spec secret key key secret key factory get instance algorithm generate secret key spec cipher encrypter cipher get instance transformation encrypter init cipher encrypt mode key iv input plain text get bytes utf encrypted encrypter final input system println string hex encode hex encrypted upper case,class,"['java', 'oracle', 'encryption', 'tripledes']",3des
30068549,crypto pack javacard framework apdu javacard framework applet javacard framework iso7816 javacard framework isoexception javacard framework jcsystem javacard framework util javacard security deskey javacard security key builder javacardx crypto cipher crypto des applet array encryption decryption key the des key 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 defining required keys deskey my des1key deskey key builder build key key builder type des key builder length des false deskey my des2key deskey key builder build key key builder type des key builder length des3 2key false deskey my des3key deskey key builder build key key builder type des key builder length des3 3key false defining required cipher cipher my cipher defining variables supported instructions set key 0x c0 one key des 0x c1 two key des 0x c2 three key des 0x c3 defining variables cipher algorithms des cbc iso9797 m1 0x00 des cbc iso9797 m2 0x01 des cbc nopad 0x02 des cbc pkcs5 0x03 des ecb iso9797 m1 0x04 des ecb iso9797 m2 0x05 des ecb nopad 0x06 des ecb pkcs5 0x07 defining proprietary status words key in not set good 0x6440 flag sure configured key length algorithm needs configured key length crypto des install array offset length isoexception crypto des register process apdu apdu isoexception assigning configured key length force user use set key command applet selection selecting applet configured key length buffer apdu get buffer checking cla field apdu command buffer iso7816 offset cla isoexception throw it iso7816 sw cla not supported checking p1 p2 fields apdu command buffer iso7816 offset p1 buffer iso7816 offset p2 isoexception throw it iso7816 sw incorrect p1p2 analyzing command buffer iso7816 offset ins set key apdu one key des one key descrypto apdu do encrypt decrypt apdu two key des two key descrypto apdu do encrypt decrypt apdu three key des three key descrypto apdu do encrypt decrypt apdu isoexception throw it iso7816 sw ins not supported exception crypto exception isoexception throw it crypto exception get reason isoexception throw it iso7816 sw unknown apdu apdu isoexception buffer apdu get buffer key must length bytes buffer iso7816 offset lc buffer iso7816 offset lc buffer iso7816 offset lc util array copy non atomic buffer iso7816 offset cdata the des key iso7816 offset lc configured key length buffer iso7816 offset lc isoexception throw it iso7816 sw data invalid buffer iso7816 offset p1 des cbc iso9797 m1 my cipher get instance cipher alg des cbc iso9797 m1 false des cbc iso9797 m2 my cipher get instance cipher alg des cbc iso9797 m2 false des cbc nopad my cipher get instance cipher alg des cbc nopad false des cbc pkcs5 my cipher get instance cipher alg des cbc pkcs5 false des ecb iso9797 m1 my cipher get instance cipher alg des ecb iso9797 m1 false des ecb iso9797 m2 my cipher get instance cipher alg des ecb iso9797 m2 false des ecb nopad my cipher get instance cipher alg des ecb nopad false des ecb pkcs5 my cipher get instance cipher alg des ecb pkcs5 false one key descrypto apdu apdu isoexception buffer apdu get buffer check see configured key required key algorithm configured key length isoexception throw it key in not set good my des1key set key the des key buffer iso7816 offset p2 my cipher init my des1key cipher mode encrypt my cipher init my des1key cipher mode decrypt two key descrypto apdu apdu isoexception buffer apdu get buffer check see configured key required key algorithm configured key length isoexception throw it key in not set good my des2key set key the des key buffer iso7816 offset p2 my cipher init my des2key cipher mode encrypt my cipher init my des2key cipher mode decrypt three key descrypto apdu apdu isoexception buffer apdu get buffer check see configured key required key algorithm configured key length isoexception throw it key in not set good my des3key set key the des key buffer iso7816 offset p2 my cipher init my des3key cipher mode encrypt my cipher init my des3key cipher mode decrypt do encrypt decrypt apdu apdu buffer apdu get buffer ciphered data jcsystem make transient byte array jcsystem clear on deselect datalen apdu set incoming and receive datalen isoexception throw it iso7816 sw data invalid my cipher final buffer datalen ciphered data util array copy non atomic ciphered data buffer datalen apdu set outgoing and send datalen,class,"['java', 'cryptography', 'javacard']",3des
51299728,triple des hex string to byte array string len length data len len data character digit char at character digit char at data main string args exception key bytes hex string to byte array message hex string to byte array 2962a83e5d3d5187 secret key key secret key spec key bytes desede iv parameter spec iv iv parameter spec cipher decipher cipher get instance desede ecb pkcs5padding decipher init cipher decrypt mode key iv enc data sun misc base64decoder decode buffer message plain text decipher final message,class,"['java', '3des']",3des
20227,triple destest main string args string text kyle boon codedtext triple destest encrypt text string decodedtext triple destest decrypt codedtext system println codedtext system println decodedtext encrypt string message message digest md message digest get instance md5 digest of password md digest hg58yz3cr9 get bytes utf key bytes arrays copy of digest of password key bytes key bytes secret key key secret key spec key bytes desede iv parameter spec iv iv parameter spec cipher cipher cipher get instance desede cbc pkcs5padding cipher init cipher encrypt mode key iv plain text bytes message get bytes utf cipher text cipher final plain text bytes string encoded cipher text sun misc base64encoder encode cipher text cipher text java security system println invalid algorithm javax crypto no such padding exception system println no such padding java security no such algorithm exception system println no such algorithm java security invalid key exception system println invalid key bad padding exception system println invalid key system println invalid key system println invalid key null string decrypt message message digest md message digest get instance md5 digest of password md digest hg58yz3cr9 get bytes utf key bytes arrays copy of digest of password key bytes key bytes secret key key secret key spec key bytes desede iv parameter spec iv iv parameter spec cipher decipher cipher get instance desede cbc pkcs5padding decipher init cipher decrypt mode key iv enc data sun misc base64decoder decode buffer message plain text decipher final message plain text string java security system println invalid algorithm javax crypto no such padding exception system println no such padding java security no such algorithm exception system println no such algorithm java security invalid key exception system println invalid key bad padding exception system println invalid key system println invalid key system println invalid key ioexception todo auto generated block print stack trace null,class,"['java', 'encryption', '3des']",3des
51899428,string decrypt string encrypted string string decrypted text null cipher init key encrypted text base64 decode base64 encrypted string plain text cipher final encrypted text decrypted text string plain text exception ex logger get logger agent bride protocol get name log level severe exception ex logger get logger agent bride protocol get name log level severe exception ex get message ex print stack trace decrypted text,function,"['java', 'cryptography', '3des']",3des
