id,text,question_code_type,tags,class
43595831,pre authorize event get owner get id authentication id delete path variable id long id request body event event repo delete id event,function,"['java', 'spring', 'spring-mvc', 'spring-security', 'acl']",acl
20856825,enable aspect jauto proxy enable spring configured enable auto configuration exclude configuration component scan main string args exception application context ctx spring application run lass args mode advice mode aspectj configuration root data source config override data source data source jpa data source jpa transaction manager bean bean name jpa data source data source jpa data source bean name transaction manager tx mgr jpa transaction manager jpa transaction manager bean name entity manager factory entity manager factory jpa emf pre post enabled true configuration ordered autowired data source data source override get order root method security co nfig order bean mutable acl service acl service cache exception ioexception mutable jdbc acl service acl service mutable jdbc acl service data source acl lookup strategy acl cache acl service set class identity query select identity acl service set sid identity query select identity acl service acl service data source ordered auto configure after root data source config autowired data source root data source config depends on ordered,invalid,"['java', 'spring-boot', 'configuration', 'nullpointerexception', 'autowired']",acl
33466051,main main string args runtime runtime runtime instance profile profile impl set parameter profile main host set parameter profile main port set parameter profile container name reality agent container agent container runtime create main container agent controller ac agent container create new agent hitman agent47 get name null ac start stale proxy exception print stack trace agent47 agent serial version uid 1l override setup aclmessage msg aclmessage aclmessage inform aid dest aid agent smith matrix aid isguid dest add addresses http acc msg add receiver dest msg set content hello send msg main main string args runtime runtime runtime instance profile profile impl set parameter profile main host set parameter profile main port set parameter profile container name matrix agent container agent container runtime create main container agent controller ac agent container create new agent agent smith agent smith get name null ac start stale proxy exception print stack trace agent smith agent serial version uid 1l override setup add behaviour cyclic behaviour serial version uid 1l action aclmessage msg agent receive msg null string content msg get content content null system println received request msg get sender get local name system println received message content system println setup done,class,"['java', 'agents-jade']",acl
48367588,spring boot application trader diary application main string args spring application run trader diary application args configuration data source config bean data source trader diary data source data source properties data source properties data source properties build,class,"['java', 'spring', 'spring-boot', 'spring-security', 'spring-security-acl']",acl
42515049,executor service schedule at fixed rate runnable run system println hello jsonarray data server api risk check data null jsonarray policycontent data policycontent length jsonobject privilege policycontent get jsonobject string user privilege get string user string filepath privilege get string file path string accesses privilege get boolean read true accesses accesses privilege get boolean write true accesses accesses privilege get boolean execute true accesses accesses privilege get boolean execute false privilege get boolean write false privilege get boolean read false accesses system println trying to run process runtime get runtime exec setfacl user accesses filepath wait for exit val wait for system println exited error code exit val ioexception todo auto generated block print stack trace interrupted exception todo auto generated block print stack trace system println setfacl user accesses filepath system println server api get risk value time unit seconds,invalid,"['java', 'linux', 'acl', 'processbuilder', 'runtime.exec']",acl
46031254,main string interrupted exception spark conf conf spark conf set master local set app name sampleapp java streaming context jssc java streaming context conf durations seconds map string object kafka params hash map kafka params put bootstrap servers localhost kafka params put key deserializer string deserializer kafka params put value deserializer string deserializer kafka params put group id different id allotted different stream kafka params put auto offset reset latest kafka params put enable auto commit false collection string topics arrays list topic java input dstream consumer record string string stream kafka utils create direct stream jssc location strategies prefer consistent consumer strategies string string subscribe topics kafka params java pair dstream string string pair dstream stream map to pair pair function consumer record string string string string serial version uid 1l override tuple2 string string call consumer record string string record exception tuple2 record key record value pair dstream foreach rdd pair rdd pair rdd foreach rdd system println key rdd value rdd jssc start jssc await termination stream map to pair pair function consumer record string string string string serial version uid 1l override tuple2 string string call consumer record string string record exception tuple2 record key record value,function,"['java', 'apache-spark', 'apache-kafka', 'spark-streaming']",acl
23874988,entity table name resource group resource group serializable id generated value strategy generation type identity id column unique true string name one to many mapped by resource group cascade cascade type all fetch fetch type lazy orphan removal true join column name resourcegroup id list user group resource group acl user resource groups entity table name user group user group serializable one to many mapped by user group fetch fetch type lazy cascade cascade type all join column name usergroup id list access control list acl one to many mapped by user group fetch fetch type lazy cascade cascade type all join column name usergroup id list user group resource group acl user resource groups override list resource group get allowed resource groups user group user grp em create named query resource group get all can view set parameter user group user grp set parameter view true get result list,code_block,"['java', 'jpql', 'jpa-2.1']",acl
36300398,acl service utils logger logger logger factory get logger acl service utils acl get acl session session string object id boolean basic permissions ioexception object identity obj id object identity get object identity object id access control list impl acl access control list impl list ace aces array list ace principal impl principal principal impl principal set id obj id get type want info user access control entry impl ace access control entry impl ace set direct true ace set principal principal aces add ace acl set aces aces acl exception print stack trace null object identity json ignore object mapper mapper object mapper json ignore string utf utf object identity type type string unid string id string parent folder path object identity type get type type set type object identity type type type type string get unid unid set unid string unid unid unid string get id id set id string id id id string get parent folder path parent folder path set parent folder path string parent id parent folder path parent id json ignore string get encoded object id ioexception string json mapper write value as string encode base64 base64 encode json string result string encode base64 result urlencoder encode result utf result json ignore object identity get object identity string encoded string ioexception string decoded string urldecoder decode encoded string utf decode base64 base64 decode decoded string string result string decode base64 mapper read value result object identity main string args ioexception object identity identity object identity identity set id local identity set unid def identity set type object identity type attachment object identity decoded object identity get object identity identity get encoded object id system println decoded id system println decoded unid system println decoded type system println decoded id equals identity id,invalid,"['java', 'lotus-notes', 'opencmis']",acl
19253946,string get viewer string path list acl enum read permission list acl entry permission read acl array list acl entry permission read acl add acl entry permission read attributes read acl add acl entry permission read data read acl add acl entry permission synchronize read acl add acl entry permission read named attrs acl file attribute view acl files get file attribute view paths get path acl file attribute view list string names array list string acl null list acl entry acl list acl get acl acl entry entry acl list system println principal system println entry permissions entry permissions contains all read acl only add principal group entry principal group names add entry principal get name ioexception todo auto generated block print stack trace names array string,function,"['java', 'permissions', 'acl']",acl
53780612,no repository bean acl base repository base entity crud repository long list find all with acl predicate predicate page find all with acl predicate predicate pageable pageable no repository bean acl base repository impl base entity querydsl jpa repository long acl base repository suppress warnings unchecked acl base repository impl jpa entity information long entity information entity manager entity manager entity information entity manager override list find all with acl predicate predicate find all predicate override page find all with acl predicate predicate pageable pageable find all predicate pageable account repository acl base repository account,class,"['java', 'spring', 'generics', 'spring-data-jpa']",acl
