id,text,question_code_type,tags,class
17125709,karp generalutil common import java security invalid key exception import java security no such algorithm exception import javax crypto bad padding exception import javax crypto cipher import javax crypto illegal block size exception import javax crypto key generator import javax crypto no such padding exception import javax crypto secret key import javax crypto spec secret key spec public encryptor param args static cipher cipher cipher public encryptor cipher cipher get instance aes cipher cipher get instance aes no such algorithm exception todo auto generated block print stack trace no such padding exception todo auto generated block print stack trace test public main string args try key generator aes aes key generator get instance aes aes init secret key key aes generate key exception todo auto generated block print stack trace public string encrypt string clear text string key string no such algorithm exception no such padding exception invalid key exception illegal block size exception bad padding exception secret key key load key key string string encrypted text cipher init cipher encrypt mode key encrypted text string cipher final clear text get bytes encrypted text public string decrypt string encrypted text string key string no such algorithm exception no such padding exception invalid key exception illegal block size exception bad padding exception secret key key load key key string string clear text cipher cipher cipher get instance aes cipher init cipher decrypt mode key clear text string cipher final encrypted text get bytes clear text public encrypt clear byte array string key string no such algorithm exception no such padding exception invalid key exception illegal block size exception bad padding exception secret key key load key key string encrypted byte array cipher cipher cipher get instance aes cipher init cipher encrypt mode key encrypted byte array cipher final clear byte array encrypted byte array public decrypt encrypted byte array string key string no such algorithm exception no such padding exception invalid key exception illegal block size exception bad padding exception secret key key load key key string clear byte array cipher cipher cipher get instance aes cipher init cipher decrypt mode key clear byte array cipher final encrypted byte array clear byte array public secret key load key string key string encoded key string get bytes secret key key secret key spec encoded aes key,class,"['java', 'aes']",aes
34297594,decrypt keybytes data secret key spec key secret key spec keybytes aes cipher local cipher cipher get instance aes ecb zero byte padding local cipher init key local cipher final data,function,"['java', 'android', 'encryption']",aes
55744826,string encrypt string data no such padding exception no such algorithm exception invalid key exception bad padding exception illegal block size exception key key generate key cipher cipher get instance algo init cipher encrypt mode key enc val final data get bytes string encrypted value string base64 get encoder encode enc val encrypted value,function,"['java', 'string', 'hex']",aes
27028924,crypto function import java io import java security import java security spec import javax crypto import javax crypto spec utility encrypting decrypting files michael lones minor revisions glenn hall crypto function public aes key size cipher pk cipher aes cipher byte aes key secret key spec aeskey spec constructor creates ciphers public crypto function general security exception create rsa key cipher pk cipher cipher get instance rsa create aes shared key cipher aes cipher cipher get instance aes creates aes key random aes key generated encrypt files key size aes key size bits standard aes public make key no such algorithm exception key generator kgen key generator get instance aes kgen init aes key size secret key key kgen generate key aes key key get encoded aeskey spec secret key spec aes key aes decrypts aes key file using rsa key suppress warnings resource public load key file file private key file general security exception ioexception read key used decrypt aes key byte encoded key private key file length file input stream private key file read encoded key create key pkcs8encoded key spec private key spec pkcs8encoded key spec encoded key key factory kf key factory get instance rsa private key pk kf generate private private key spec read aes key pk cipher init cipher decrypt mode pk aes key aes key size cipher input stream cipher input stream file input stream pk cipher read aes key aeskey spec secret key spec aes key aes encrypts aes key file using rsa key suppress warnings resource public save key file file public key file ioexception general security exception read key used encrypt aes key encoded key public key file length new file input stream public key file read encoded key create key x509encoded key spec public key spec x509encoded key spec encoded key key factory kf key factory get instance rsa public key pk kf generate public public key spec write aes key pk cipher init cipher encrypt mode pk cipher output stream os cipher output stream file output stream pk cipher os write aes key os close encrypts copies contents given file public encrypt file file ioexception invalid key exception aes cipher init cipher encrypt mode aeskey spec file input stream file input stream cipher output stream os cipher output stream file output stream aes cipher system println get absolute path copy os os close decrypts copies contents given file public decrypt file file ioexception invalid key exception aes cipher init cipher decrypt mode aeskey spec cipher input stream cipher input stream file input stream aes cipher file output stream os file output stream system println get absolute path copy os close os close copies stream private copy input stream output stream os ioexception read os write public main string args general security exception ioexception crypto function secure crypto function encrypt code system println begin encyption file encrypt file file encrypt data file public key data file src publickey der file original file file src stufftoencrypt txt file secure file file secure data create aes key secure make key save aes key using key secure save key encrypt file public key data save original file securely secure encrypt original file secure file system println end encryption system println begin decryption decrypt code file encrypt file1 file encrypt data file private key file file src privatekey der file secure file1 file secure data file unencrypted file file unencrypted file txt load aes key secure load key encrypt file private key file decrypt file secure decrypt secure file1 unencrypted file system println end decryption display string,class,"['java', 'eclipse', 'encryption', 'output']",aes
13021923,string myiv string 0x31 0x32 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x31 0x30 0x31 0x31 0x31 0x32 0x33 mykeyarray 0x86 0xe5 0x30 0x90 0xff 0x62 0xa0 0x9a 0x81 0x00 0xad 0x9e 0x8f 0x00 0x00 0x00 string encoded dm8cfvs c7p km wr fde8b06sb lq wls4s zw pf qskt tfg pknz yzp tvot jp3jbo u2uo 7xwopjo pdol pr24duuck0z ax91b ytw qo4inn iibkj lh jmwmv aka uio3qz bo gg8yn qohu g6ly7wo0uww iv parameter spec ivspec iv parameter spec myiv get bytes decoded file writer fstream file writer txt buffered writer buffered writer fstream string mykey repeat outerloop repeat repeat repeat mykey string mykeyarray secret key spec keyspec secret key spec mykey get bytes aes cipher cipher cipher get instance aes cbc pkcs5padding system println decoded base64decoder decode buffer encoded cipher init cipher decrypt mode keyspec ivspec decrypted cipher final decoded string dec string decrypted dec contains mary write dec write system println dec outerloop mykeyarray mykeyarray mykeyarray 0x00 mykeyarray mykeyarray 0x00 mykeyarray 0x00 close exception system println error get message,code_block,"['java', 'cryptography', 'aes', 'pkcs#5', 'cbc-mode']",aes
14358754,password as char array password char array pbekey spec pbe key spec pbekey spec password as char array salt secret key factory factory secret key factory get instance pbkdf2with hmac sha1 secret key spec secret key secret key spec factory generate secret spec get encoded aes,code_block,"['java', 'android', '.net', 'encryption', 'aes']",aes
56765112,javax crypto bad padding exception import javax crypto cipher import javax crypto illegal block size exception import javax crypto no such padding exception import javax crypto spec secret key spec import java nio byte buffer import java security invalid key exception import java security no such algorithm exception import java util base64 import java nio charset standard charsets utf public crypto util string aes aes ecb pkcs5padding string encrypt message string message data key exception secret key spec secret key secret key spec data key aes cipher cipher cipher get instance aes cipher init cipher encrypt mode secret key encrypted message cipher final message get bytes base64 get encoder encode to string encrypted message no such padding exception no such algorithm exception invalid key exception bad padding exception illegal block size exception exception error encrypting application credentials,class,"['java', 'encryption', 'aes', 'bouncycastle']",aes
46432516,test bytes bytes byte test input 0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0a 0x0b 0x0c 0x0d 0x0e 0x0f test key bytes bit byte key bytes 0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0a 0x0b 0x0c 0x0d 0x0e 0x0f test nonce bytes bit byte nonce 0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0a 0x0b 0x0c,code_block,"['java', 'android', 'encryption', 'bluetooth', 'aes']",aes
39194690,aes2 string algo aes cbc pkcs5padding key value string encrypt string data exception key generator key gen key generator get instance aes key gen init secret key sec key key gen generate key key key generate key generar iv iv secure random random secure random random next bytes iv iv parameter spec iv parameter spec iv parameter spec iv cifrar cipher cipher get instance algo init cipher encrypt mode key iv parameter spec enc val final data get bytes string encrypted value base64encoder encode enc val encrypted value string decrypt string encrypted data exception key key generate key iv secure random random secure random random next bytes iv iv parameter spec iv parameter spec iv parameter spec iv cipher cipher get instance algo init cipher decrypt mode key iv parameter spec decorded value base64decoder decode buffer encrypted data dec value final decorded value string decrypted value string dec value decrypted value key generate key exception key key secret key spec key value aes key main public aes main param args command line arguments main string args exception string texto hola mama string encrypted text aes2 encrypt texto string decrypted text aes2 decrypt encrypted text system println plain text texto system println encrypted text encrypted text system println decrypted text decrypted text,code_block,"['java', 'encryption', 'text', 'aes']",aes
22619602,aes encr dec public string encrypt string data byte cipher text null string plain data data cipher text decrypted text key generator key gen key generator get instance aes key gen init secure random rnd secure random secret key secret key key gen generate key iv parameter spec iv iv iv parameter spec rnd generate seed cipher aes cipher cipher get instance aes aes cipher init cipher encrypt mode secret key iv byte data to encrypt plain data get bytes byte cipher text aes cipher final byte data to encrypt cipher text base64encoder encode byte cipher text string byte cipher text invalid key exception ex logger get logger aes encr dec get name log level severe null ex no such algorithm exception ex logger get logger aes encr dec get name log level severe null ex no such padding exception ex logger get logger aes encr dec get name log level severe null ex illegal block size exception ex logger get logger aes encr dec get name log level severe null ex bad padding exception ex logger get logger aes encr dec get name log level severe null ex invalid algorithm parameter exception ex logger get logger aes encr dec get name log level severe null ex string byte cipher text public string dencrypt string data byte decrypted text null key generator key gen key generator get instance aes key gen init iv parameter spec iv secure random rnd secure random iv iv parameter spec rnd generate seed cipher aes cipher cipher get instance aes secret key secret key key gen generate key aes cipher init cipher encrypt mode secret key iv byte decrypted text aes cipher final data get bytes no such algorithm exception ex logger get logger aes encr dec get name log level severe null ex no such padding exception ex logger get logger aes encr dec get name log level severe null ex invalid key exception ex logger get logger aes encr dec get name log level severe null ex invalid algorithm parameter exception ex logger get logger aes encr dec get name log level severe null ex illegal block size exception ex logger get logger aes encr dec get name log level severe null ex bad padding exception ex logger get logger aes encr dec get name log level severe null ex string byte decrypted text,class,"['java', 'security', 'encryption']",aes
