id,text,question_code_type,tags,class
57562118,entity entity listeners auditing entity listener public purchase string purchase nbr created by string created by configuration enable jpa auditing public auditconfig bean auditor aware string audit aware security context holder get context null security context holder get context get authentication null spring context initialization see branch gets hit put breakpoint optional system branch never gets hit even condition false runtime optional security context holder get context get authentication get name,class,"['java', 'oracle', 'hibernate', 'jpa', 'spring-data-jpa']",audit trail
50545289,configuration depends on test bean2 enable transaction management public test config bean platform transaction manager transaction manager driver manager data source data source driver manager data source my sql database using data source set driver class name com mysql jdbc driver data source set url jdbc mysql localhost db change url data source set username username change userid data source set password password change pwd platform transaction manager transaction manager data source transaction manager data source transaction manager,class,"['java', 'spring', 'spring-transactions', 'autoproxy']",audit trail
29447216,audit reader reader audit reader factory get em audit query query reader create query revisions of entity user false true,code_block,"['java', 'proxy', 'entity-relationship', 'hibernate-envers']",audit trail
24953168,audit auditable string string serial version uid 1l id string id version long version created by string created by created date date time created date last modified by string last modified by last modified date date time last modified date new id null string get id id set id string id id id long get version version set version long version version version string get created by created by set created by string created by created by created by date time get created date created date set created date date time created date created date created date string get last modified by last modified by set last modified by string last modified by last modified by last modified by date time get last modified date last modified date set last modified date date time last modified date last modified date last modified date,class,"['java', 'spring', 'spring-data-mongodb']",audit trail
48320851,audit reader reader audit reader factory get entity manager list contact contact list reader create query revisions of entity contact true true add audit entity revision property timestamp start date end date get result list,code_block,"['java', 'hibernate', 'audit']",audit trail
39224030,entity audited public many to one join column name id nullable false entity entity entity audited public,invalid,"['java', 'sql-server', 'hibernate', 'jpa', 'hibernate-envers']",audit trail
37815460,revision entity my custom revision listener public my custom revision entity default revision entity string user name string ip accessors public my custom revision listener revision listener new revision object revision entity my custom revision entity custom revision entity my custom revision entity revision entity here need user name ip address passed arguments somehow set revision entity,class,"['java', 'spring', 'hibernate', 'audit', 'hibernate-envers']",audit trail
23939108,entity revision entity auditing revision listener public audited revision entity default revision entity string username string get username username set username string username username username public auditing revision listener revision listener log log log factory get log auditing revision listener get name override new revision object revision entity audited revision entity rev entity audited revision entity revision entity string user name security context holder get context get authentication get name rev entity set username user name,class,"['java', 'spring', 'jpa', 'hibernate-envers']",audit trail
34297427,entity table name parent inheritance strategy inheritance type joined discriminator column name type public parent parent id generated value strategy identity column name base id unique true nullable false integer base id column name base field string base field column name type string type getters setters,class,"['java', 'hibernate', 'hibernate-envers']",audit trail
49020393,entity public auditable id id many to one optional false cascade cascade type persist audit entity public actor auditable entity public another entity auditable entity public audit id id many to one optional false cascade cascade type persist actor,invalid,"['java', 'hibernate', 'jpa']",audit trail
43898897,entity dynamic insert dynamic update select before update table name employers audited public employer serializable all fields omitted brevity list designations designations many to many join table name employerdesignations join columns join column name fk employer nullable false inverse join columns join column name fk designation nullable false list designations get designations designations set designations list designations designations designations designations,invalid,"['java', 'hibernate-envers']",audit trail
7040188,javax persistence entity import org hibernate envers default revision entity import org hibernate envers revision entity entity revision entity custom revision listener public custom revision entity default revision entity serial version uid 3775550420286576001l string username string get username username set username string username username username,class,"['java', 'audit', 'hibernate-envers']",audit trail
16769968,the entity mapped superclass id audit fields equals entity public foo entity one to many mapped by foo cascade cascade type all fetch fetch type lazy set bar bars hash set bar getter setter properties entity public bar entity many to one fetch fetch type lazy join column name foo id foo foo getter setter one to one cascade cascade type all fetch fetch type lazy optional false join column name baz id nullable false baz baz getter setter properties entity public baz entity one to one mapped by baz fetch fetch type lazy optional false bar bar getter setter properties,invalid,"['java', 'hibernate', 'jpa', 'ejb-3.0']",audit trail
29880911,entity public tag serializable fields omitted created date temporal temporal type timestamp date created date created by basic optional false column name created by nullable false length string created by last modified date basic optional false column nullable false temporal temporal type timestamp date updated date last modified by basic optional false column name updated by nullable false length string updated by getters setters generated,invalid,"['java', 'spring-data', 'spring-data-jpa', 'spring-data-rest']",audit trail
60073200,java time local date time import javax persistence column import javax persistence entity listeners import javax persistence mapped superclass import org springframework data annotation created by import org springframework data annotation created date import org springframework data annotation last modified by import org springframework data annotation last modified date import org springframework data jpa domain support auditing entity listener import lombok data mapped superclass data entity listeners auditing entity listener public base entity last modified date column name last modified datetime local date time last modified date time created date column name created datetime local date time created date time,class,"['java', 'spring', 'spring-boot', 'jpa', 'spring-data-jpa']",audit trail
29684505,authenticate user details admin user details service load user by username admin run as user token token run as user token uuid random uuid string admin admin get authorities null null authentication user authentication manager authenticate token user authenticated security context sc security context impl sc set authentication user security context holder set context sc,function,"['java', 'spring', 'authentication', 'spring-security', 'spring-3']",audit trail
36277333,list person get audit reader create query entities at revision person get result list,code_block,"['java', 'spring', 'hibernate-envers']",audit trail
