id,text,question_code_type,tags,class
51356504,lombok sneaky throws javax crypto cipher javax crypto spec secret key spec java util base64 get decoder java util base64 get encoder user authentication filter main string args exception string key system println decrypt get decoder decode ap9at m49v8o key encryption decryption verification string plain text cap string cipher encrypt plain text key string decrypted decrypt get decoder decode enc key assert decrypted equals plain text sneaky throws string encrypt string plain text string key key byte hex to bytes key secret key spec skey spec secret key spec key byte blowfish cipher ecipher cipher get instance blowfish ecb pkcs5padding ecipher init cipher encrypt mode skey spec src ecipher final plain text get bytes iso get encoder encode to string src sneaky throws string decrypt cipher content string key key byte hex to bytes key secret key spec skey spec secret key spec key byte blowfish cipher dcipher cipher get instance blowfish ecb no padding dcipher init skey spec dcontent dcipher final cipher content string dcontent iso trim hex to bytes string str str null null str length null len str length buffer len len buffer integer parse int str substring buffer output by x³,class,"['java', 'go', 'encryption', 'cryptography', 'blowfish']",blowfish
29306907,simple crypt handler java security invalid key exception java security key java security no such algorithm exception javax crypto bad padding exception javax crypto cipher javax crypto javax crypto key generator javax crypto no such padding exception java util scanner simple crypt handler key sym key cipher cipher simple crypt handler string algorithm no such algorithm exception no such padding exception sym key key generator get instance algorithm generate key cipher cipher get instance algorithm encrypt string encrypt invalid key exception bad padding exception cipher init cipher encrypt mode sym key input bytes encrypt get bytes cipher final input bytes string decrypt decrypt invalid key exception bad padding exception cipher init cipher decrypt mode sym key decrypt cipher final decrypt string decrypted string decrypt decrypted main string args exception scanner input scanner system string encrypttype system println what encrytion type would like use aes blowfish des desede rc2 encrypttype input next line string algorithm encrypttype successfully tested aes blowfish des desede rc2 simple crypt handler crypt handler simple crypt handler algorithm scanner input2 scanner system string pw system println what would like encrypt pw input2 next line string input1 pw encryption encrypted bytes crypt handler encrypt input1 system println encrypttype encrypted result pw encrypted bytes decryption string decrypted str crypt handler decrypt encrypted bytes system println decrypted result decrypted str,class,"['java', 'encryption']",blowfish
22827221,decode encrypt key game id game id bytes get bytes secret key spec game id key spec secret key spec game id bytes blowfish cipher game id cipher cipher get instance blowfish ecb pkcs5padding game id cipher init cipher decrypt mode game id key spec encrypt key bytes base64 decode sf9c game id cipher final encrypt key bytes initialize chunk cipher secret key spec chunk spec secret key spec blowfish cipher chunk cipher cipher get instance blowfish ecb pkcs5padding chunk cipher init cipher decrypt mode chunk spec chunk content get chunk content chunk decrypted bytes chunk cipher final chunk content,code_block,"['java', 'algorithm', 'encryption', 'web-scraping', 'restful-url']",blowfish
21485046,encrypted aot tv22bfk tk vrh tn rhq string encrypt string username string code exception key data username get bytes secret key spec secret key spec secret key spec key data blowfish cipher cipher cipher get instance blowfish cipher init cipher encrypt mode secret key spec hasil1 cipher final username get bytes hasil2 cipher final code get bytes base64encoder encode hasil1 exception system println null decrypt doug gmail com string decrypt string email string code exception key data code get bytes secret key spec secret key spec secret key spec key data blowfish cipher cipher cipher get instance blowfish cipher init cipher decrypt mode secret key spec hasil cipher final base64decoder decode buffer email string hasil exception system println exaception null,function,"['java', 'encryption', 'url-rewriting', 'blowfish']",blowfish
4062015,encrypt encrypt strkey secret key spec key secret key spec strkey blowfish cipher cipher cipher get instance blowfish ecb no padding cipher init cipher encrypt mode key cipher final encrypt error exception print stack trace null,function,['java'],blowfish
50209640,key generator keygen key generator get instance blowfish secure random foo secure random get instance sha1prng foo set seed baa get bytes keygen init foo,code_block,"['java', 'encryption', 'cross-platform', 'key-generator', 'secure-random']",blowfish
17472684,java security secure random java security spec key spec javax crypto cipher javax crypto secret key javax crypto secret key factory javax crypto spec pbekey spec javax crypto spec secret key spec symetric algorithms enum algorithms enum declaration encryption types aes blow fish desede string data howcanisolvethis encrypt decrypt main string args throwable secret key kgen generate key create key string encryp text encrypt kgen data algorithms aes encrypt method calling string decryp text dencypt kgen encryp text algorithms aes decrypt method calling system println plaintext data key kgen encrypted text encryp text decrypted text decryp text string dencypt secret key key string text algorithms value throwable decryption text2 text get bytes convert parameters text bytes cipher cipher cipher get instance aes cipher initialize choose encryption method aes cipher init cipher decrypt mode key cipher process plain text byte creating array plain text byte cipher final text2 using array assign ciphers result system println plain text byte string plain text byte exception system err println data cant decrypted print stack trace null string encrypt secret key key string text algorithms value throwable cipher cipher null cipher declaration value enum types control structure users choosing encryption type acceptable aes cipher cipher get instance aes blow fish cipher cipher2 cipher get instance blow fish cipher cipher2 desede cipher cipher3 cipher get instance desede cipher cipher3 system println unexpectable value input system println key cipher cipher cipher get instance aes cipher init cipher encrypt mode key ciphertext cipher final text get bytes utf cipher result assign array system println ciphertext string ciphertext exception system err println unexpectable algorithm type print stack trace null secret key generate key throwable generate key using crypt could sb explain loose combined codes finding internet failed secret key factory factory secret key factory get instance pbkdf2with hmac sha1 secure random prng secure random get instance sha1prng bytes prng next bytes bytes string password temp prng string string salt temp password temp password password temp char array salt salt temp get bytes key spec spec pbekey spec password salt secret key tmp factory generate secret spec secret key secret secret key spec tmp get encoded aes secret exception system err println key cant generated print stack trace null,class,"['java', 'encryption', 'enums', 'secret-key']",blowfish
26486120,string encrypt blowfish string encrypt string strkey secret key spec key secret key spec strkey get bytes blowfish cipher cipher cipher get instance blowfish cipher init cipher encrypt mode key string cipher final encrypt get bytes string added string otherwise get hardcoded text exception null,function,"['java', 'php', 'android', 'encryption']",blowfish
36002834,android util base64 java io java security java security invalid key exception java security no such algorithm exception javax crypto bad padding exception javax crypto cipher javax crypto javax crypto no such padding exception javax crypto spec iv parameter spec javax crypto spec secret key spec decryption secret key spec key spec string algorithm blowfish cbc pkcs5padding cipher cipher setup for decryption string key no such padding exception no such algorithm exception key data key get bytes key spec secret key spec key get bytes utf blowfish cipher cipher get instance algorithm check for key spec key spec null true false secret key spec get secret key key spec string decrypt string string input string invalid key exception bad padding exception iv parameter spec iv spec iv parameter spec key spec get encoded cipher init cipher decrypt mode get secret key iv spec decrypted bytes base64 decode input string string decrypted string decrypted bytes decrypted,class,"['java', 'android', 'encryption']",blowfish
15497578,base64decoder decoder base64decoder base64encoder encoder base64encoder string encrypt value with blowfish string data string secret key security add provider org bouncycastle jce provider bouncy castle provider secret key spec key secret key spec decoder decode buffer secret key blowfish cipher cipher cipher get instance blowfish cbc no padding bc string iv iv parameter spec ivs iv parameter spec iv get bytes cipher init cipher encrypt mode key ivs message digest sha message digest get instance sha encoder encode sha digest cipher final decoder decode buffer data exception lg info failed encrypt value with blowfish get message,code_block,"['java', 'bouncycastle']",blowfish
