id,text,question_code_type,tags,class
4278917,url url url protocol ip port path urlconnection connection url open connection proxy no proxy connection connect connection null connection get header fields null connection get header fields get authenticate response header null map string string authenticate parameters identify authentication connection string ha1 calculate md5 username authenticate parameters get realm password string ha2 calculate md5 get path string response calculate md5 ha1 authenticate parameters get nonce authenticate parameters get qop ha2 string authorization request authenticate parameters get challenge username username realm authenticate parameters get realm nonce authenticate parameters get nonce uri path qop authenticate parameters get qop nc response response opaque authenticate parameters get opaque connection set allow user interaction true connection add request property authentication request property authorization request connection get header fields,code_block,"['java', 'urlconnection', 'digest-authentication']",digest authentication
2152573,reference reference reference http localhost authenticate client client client protocol http request request request method get reference response response client handle request system println response response get status form form form form add username rajesh form add uri reference get path loop challenge request objects sent server challenge request challenge request response get challenge requests get data server response challenge scheme http digest equals challenge request get scheme series parameter params challenge request get parameters form add params get first nonce form add params get first realm form add params get first domain form add params get first algorithm form add params get first qop compute required data string a1 engine get instance md5 rajesh form get first value realm rajesh string a2 engine get instance md5 request get method form get first value uri form add response engine get instance md5 a1 form get first value nonce a2 challenge response challenge response challenge response challenge scheme http digest challenge response set credential components form send completed request request set challenge response challenge response response client handle request should system println response get status,code_block,"['java', 'authentication', 'restlet']",digest authentication
32689185,default http client default http client http url connection authenticator set default authenticator password authentication password authentication username password http url connection http url connection ok http ok http http url connection impl http url connection impl com squareup okhttp internal huc http url connection impl com android okhttp internal http http url connection impl http url connection www authenticate digest realm realm name domain domain nonce nonce algorithm md5 qop auth,invalid,"['java', 'android', 'httpurlconnection', 'digest-authentication']",digest authentication
34551390,generic filter bean user details service user service user details service user service user service user service override filter servlet request request servlet response response filter chain chain ioexception servlet exception http servlet request http request get as http request request string auth token http request string user name token utils get user name from token auth token user name null user details user details user service load user by username user name token utils validate token auth token user details authentication user details null user details get authorities authentication set details build details http request security context holder get context set authentication authentication chain filter request response http servlet request get as http request servlet request request request http servlet request runtime exception expecting http request http servlet request request string http servlet request http request get token header string auth token http request get header auth token system println auth token auth token if token found get request parameter auth token null auth token http request get parameter token auth token token utils string magic key obfuscate string create token user details user details system println create token expires one hour expires system current time millis 1000l string builder token builder string builder token builder append user details get username token builder append token builder append expires token builder append token builder append token utils compute signature user details expires token builder string string compute signature user details user details expires system println compute signature string builder signature builder string builder signature builder append user details get username signature builder append signature builder append expires signature builder append signature builder append user details get password signature builder append signature builder append token utils magic key message digest digest digest message digest get instance md5 no such algorithm exception illegal state exception no md5 algorithm available system println string hex encode digest digest signature builder string get bytes string hex encode digest digest signature builder string get bytes string get user name from token string auth token system println get username from token null auth token null string parts auth token split parts validate token string auth token user details user details system println validate token string parts auth token split expires long parse long parts string signature parts expires system current time millis false system println signature equals token utils compute signature user details expires signature equals token utils compute signature user details expires,class,"['java', 'spring-mvc', 'spring-security', 'jwt']",digest authentication
47881763,java io file java io file not found exception java io ioexception java nio charset charset java nio file files java nio file paths java security message digest java security no such algorithm exception java util list java util scanner authentication system main string args file not found exception ioexception no such algorithm exception scanner scnr scnr scanner file users milanpatel net beans projects authentication system src authenticationsystem credentials txt string credentials string count scnr next line string line scnr next line credentials count line substring trim credentials count line substring trim credentials count line substring trim credentials line substring trim count scanner input scanner system run true tries run system println welcome system println login system println exit ch integer parse int input next line trim ch increment number attempts tries request username password system print enter username string username input next line system print enter password string password input next line generate hash string original letmein replace password actual password inputted user message digest md message digest get instance md5 md update original get bytes digest md digest string builder sb string builder digest sb append string format 02x 0xff string password sb string bad user true count username content equals credentials password content equals credentials verified logged list string data null check type user print credentials zookeeper data files read all lines paths get zookeeper txt charset default charset admin data files read all lines paths get admin txt charset default charset veterinarian data files read all lines paths get veterinarian txt charset default charset data null string data system println reset tries system println n1 logout system println exit ch integer parse int input next line trim ch run false bad user false bad user system println invalid username password limit attempts tries run false system println you exceeded number login attempts,class,['java'],digest authentication
23456286,http host target host http host localhost http credentials provider creds provider basic credentials provider creds provider set credentials auth scope any user password create auth cache instance auth cache auth cache basic auth cache generate digest scheme object add local auth cache digest scheme digest auth digest scheme suppose already know realm name digest auth override paramter realm realm suppose already know expected nonce value digest auth override paramter nonce nonce auth cache put target host digest auth add auth cache execution context http client context context http client context create context set auth cache auth cache rest client generic rest client generic rest client builder method url set user default user set password default pass set auth type authentication type digest auth set http version httpversion http build generic rest client get,code_block,"['java', 'rest', 'authentication', 'digest']",digest authentication
16619384,entry point entry point set realm name contacts realm via digest authentication entry point set key acegi,code_block,"['java', 'spring', 'spring-security']",digest authentication
5317329,saslmechanism string name facebook platform string api key string application secret string session key constructor saslauthentication sasl authentication sasl authentication override authenticate ioexception xmppexception get saslauthentication send auth mechanism name override authenticate string api key and session key string host string application secret ioexception xmppexception api key and session key null application secret null illegal argument exception invalid parameters string key array api key and session key split key array length illegal argument exception api key session key present api key key array log api key api key application secret application secret log secret key application secret session key key array log session key session key authentication id session key password application secret hostname host string mechanisms digest md5 map string string props hash map string string sc sasl create sasl client mechanisms null xmpp host props authenticate override string get name name override challenge received string challenge ioexception response null challenge null string decoded challenge string base64 decode challenge log decoded decoded challenge map string string parameters get query map decoded challenge string version string nonce parameters get nonce string method parameters get method call id gregorian calendar get time in millis 1000l string sig api key api key call id call id method method nonce nonce session key session key version application secret sig md5 sig sig sig upper case no such algorithm exception illegal state exception string composed response api key urlencoder encode api key utf call id call id method urlencoder encode method utf nonce urlencoder encode nonce utf session key urlencoder encode session key utf urlencoder encode version utf sig urlencoder encode sig utf log composed composed response response composed response get bytes utf string authentication text response null authentication text base64 encode bytes response base64 dont break lines send authentication server get saslauthentication send response authentication text map string string get query map string query map string string map hash map string string string params query split string param params string fields param split map put fields fields length fields null map string md5 string text no such algorithm exception message digest md message digest get instance md5 md update text get bytes utf text length convert to hex md digest string convert to hex data string builder buf string builder len data length len half byte data 0x two halfs half byte half byte buf append half byte buf append half byte half byte data 0x two halfs buf string,class,"['java', 'android', 'facebook', 'xmpp', 'smack']",digest authentication
2954434,default http client client default http client client get credentials provider set credentials auth scope null null username password http post post http post uri create http someaddress list name value pair nvps array list name value pair nvps add basic name value pair domain username post set entity url encoded form entity nvps http utf digest scheme digest auth digest scheme digest auth override paramter algorithm md5 digest auth override paramter realm http someaddress digest auth override paramter nonce long string random next long digest auth override paramter qop auth digest auth override paramter nc digest auth override paramter cnonce digest scheme create cnonce header auth digest auth authenticate username password post system println auth get name system println auth get value post set header auth http response ret client execute post byte array output stream v2 byte array output stream ret get entity write to v2 system println system println v2 string system println system println ret get status line get reason phrase system println ret get status line get status code,code_block,"['java', 'android', 'apache-commons-httpclient', 'digest-authentication']",digest authentication
41337576,main string args exception http host target http host httpbin org http credentials provider creds provider basic credentials provider creds provider set credentials auth scope target get host name target get port user passwd closeable http client httpclient http clients custom creds provider build create auth cache instance auth cache auth cache basic auth cache generate digest scheme object initialize add local auth cache digest scheme digest auth digest scheme suppose already know realm name digest auth override paramter realm kennethreitz com suppose already know expected nonce value digest auth override paramter nonce auth cache put target digest auth add auth cache execution context http client context local context http client context create local context set auth cache auth cache http get httpget http get http httpbin org digest auth auth user passwd system println executing request httpget get request line target target closeable http response response httpclient execute target httpget local context system println system println response get status line system println entity utils string response get entity response close httpclient close,function,"['java', 'apache-httpclient-4.x', 'digest-authentication']",digest authentication
