id,text,question_code_type,tags,class
44294372,login context context null create login context callback handler context login context name callback handler perform authentication context login login exception system err println login failed print stack trace system exit perform action authenticated user subject subject context get subject verbose system println subject string system println authenticated principal subject get principals subject as subject action,code_block,"['java', 'kerberos']",kerberos
48809808,com company one com sun security auth module krb5login module javax naming context javax naming naming enumeration javax naming directory attributes javax naming directory search result javax naming ldap initial ldap context javax naming ldap ldap context javax security auth login app configuration entry javax security auth login configuration java util hash map java util map java util properties test ldap test ldap configuration jaas config create jaas config configuration set configuration jaas config properties props properties props set property context initial context factory com sun jndi ldap ldap ctx factory props set property context provider url ldap myldap props set property context url pkg prefixes com sun jndi url props set property context security authentication gssapi string filter object class employee uid id ldap context ctx null ctx initial ldap context props null ctx set request controls null naming enumeration naming enum ctx search dc company dc se filter get simple search controls naming enum more search result result search result naming enum next attributes attrs result get attributes attrs get uid null log info attrs attrs naming enum close exception print stack trace log info get message configuration create jaas config create entry options map string object options hash map string object options put debug true options put not prompt true options put store key true options put principal nameofprincipal options put use key tab true options put key tab local foo conf mykeytab create entries app configuration entry entries app configuration entry krb5login module get canonical name app configuration entry login module control flag required options create configuration configuration override app configuration entry get app configuration entry string name entries,class,"['java', 'kerberos', 'apache-karaf', 'jaas']",kerberos
17102411,com sun security auth callback dialog callback handler org ietf jgss sun misc base64encoder javax security auth subject javax security auth login login context javax security auth login login exception java io java security principal java security privileged action java util set tool retrieve kerberos ticket this one stored windows ticket cache kerberos ticket retriever oid kerb v5 oid oid krb5 principal name oid kerb v5 oid oid krb5 principal name oid oid gssexception ex error ex not instanciated kerberos ticket retriever ticket creator action privileged action string user principal string application principal string buffer output buffer param user principal ex tt muelle ha myfirm com tt param application principal ex tt http webserver myfirm com tt ticket creator action string user principal string application principal user principal user principal application principal application principal set output buffer string buffer new output buffer output buffer new output buffer only calls link create ticket tt null tt object run create ticket gssexception ex error ex null gssexception create ticket gssexception gssmanager manager gssmanager get instance gssname client name manager create name user principal krb5 principal name oid gsscredential client cred manager create credential client name kerb v5 oid gsscredential initiate only gssname server name manager create name application principal krb5 principal name oid gsscontext context manager create context server name kerb v5 oid client cred gsscontext default lifetime context request mutual auth true context request conf false context request integ true token context init sec context output buffer null output buffer append string format src name context get src name output buffer append string format target context get targ name output buffer append base64encoder encode token output buffer append context dispose param realm ex tt myfirm com tt param kdc ex tt kerbserver myfirm com tt param application principal cf link ticket creator action string string gssexception login exception string retrieve ticket string realm string kdc string application principal gssexception login exception create jass config file file jaas conf file jaas conf file file create temp file jaas conf null print stream bos print stream file output stream jaas conf file bos print string format krb5login context com sun security auth module krb5login module required refresh krb5config true use ticket cache true debug true bos close jaas conf file delete on exit ioexception ex ioerror ex set properties system set property java security krb5 realm realm system set property java security krb5 kdc kdc system set property java security auth login config jaas conf file get absolute path get subject current user windows subject subject subject login context lc login context krb5login context subject dialog callback handler lc login login exception print stack trace to change body statement use file settings file templates client found kerberos database client not found system exit extract principal set principal principal set subject get principals principal set size assertion error no several principals principal set principal user principal principal set iterator next execute sample action authenticated subject action run without as privileged leads no valid credentials provided mechanism level failed find kerberos tgt ticket creator action action ticket creator action user principal get name application principal string buffer output buffer string buffer action set output buffer output buffer subject as privileged lc get subject action null output buffer string main string args throwable string ticket retrieve ticket example com example com http webserver myfirm com system println ticket,class,"['java', 'single-sign-on', 'kerberos', 'gssapi']",kerberos
27427654,string domain realm my com constraint constraint constraint constraint set name constraint spnego auth constraint set roles string domain realm constraint set authenticate true constraint mapping cm constraint mapping cm set constraint constraint cm set path spec spnego login service login service spnego login service login service set config path spnego properties login service set name domain realm sh sh set authenticator spnego authenticator sh set login service login service sh set constraint mappings constraint mapping cm sh set realm name domain realm,code_block,"['java', 'rest', 'jetty', 'kerberos', 'spnego']",kerberos
370878,exception handling ommitted login context lc login context hello ejb client dialog callback handler lc login subject as lc get subject privileged action object run gssmanager manager gssmanager get instance gssname client name manager create name client user gssname nt user name gsscredential client creds manager create credential client name create kerberos oid gsscredential initiate only gssname server name manager create name service localhost gssname nt hostbased service manager create credential server name gsscredential indefinite lifetime create kerberos oid gsscredential initiate only null oid create kerberos oid oid,code_block,"['java', 'single-sign-on', 'kerberos']",kerberos
35597349,my exmaple service my exmaple service connect default connect default authenticator set default sb http authenticator system set property java security krb5 conf ext afp config krb5 conf system set property java security auth use subject creds only false system set property http auth preference kerberos system set property sun security krb5 debug true system set property java security auth login config ext afp lgt config login conf url url url https something share point com api search query urlconnection conn url open connection input stream ins conn get input stream buffered reader reader buffered reader input stream reader ins string str str reader read line null system println blup str java io ioexception print stack trace main string args exception sb my lgt service sb http authenticator authenticator password authentication string user user string password password system err println feeding username password get requesting scheme user password password authentication user password char array ioexception print stack trace null,class,"['java', 'kerberos']",kerberos
56260044,string url jdbc hive2 hive server2host port db transport mode http http path cliservice ssl true ssl trust store truststore jks trust store password psw principal hive server principal string table test properties connection properties properties dataset row test ds spark read jdbc url table connection properties test ds show org apache hadoop conf configuration conf org apache hadoop conf configuration conf set fs hdfs impl distributed file system get name conf set hadoop security authentication kerberos conf set hadoop rpc protection privacy user group information set configuration conf user group information login user from keytab args args system println login user group information get login user system println current user user group information get current user,code_block,"['java', 'apache-spark', 'jdbc', 'hive', 'kerberos']",kerberos
45463635,login context login login context lc null system println initialize logincontext lc login context jaas login text callback handler login exception security exception le system err println cannot create login context le get message lc attempt authentication system println attempt login lc login login exception le system err println authentication failed system err println le get message lc system println authentication succeeded lc,function,"['java', 'kerberos', 'jaas']",kerberos
53657083,obtain access token application keycloak principal keycloak security context kcp keycloak principal keycloak security context request get user principal access token kcp get token string username get preferred username wtr append windows user append username append new line retrieve kerberos credential access token deserialize map string object claims get other claims object claim claims get kerberos constants gss delegation credential string serialized gsscred string claim gsscredential gss credential deserialize credential serialized gsscred,code_block,"['java', 'active-directory', 'openid-connect', 'keycloak', 'kerberos-delegation']",kerberos
45881058,configuration enable web mvc security web security config value app service principal string service principal value app keytab location string keytab location bean authentication manager exception authentication manager override configure http security http exception http exception handling authentication entry point spnego entry point authorize requests ant matchers home permit all request authenticated form login login page login permit all logout permit all add filter before override configure auth exception auth authentication provider authentication provider bean provider sun jaas kerberos client client sun jaas kerberos client client set debug true provider set kerberos client client provider set user details service dummy user details service provider bean spnego entry point spnego entry point spnego entry point login bean authentication manager authentication manager filter filter set authentication manager authentication manager filter bean provider provider set ticket validator provider set user details service dummy user details service provider bean ticket validator ticket validator set service principal service principal ticket validator set key tab location file system resource keytab location ticket validator set debug true ticket validator set hold on to gsscontext true ticket validator bean dummy user details service dummy user details service dummy user details service,class,"['java', 'xml', 'spring', 'spring-security-kerberos', 'keytab']",kerberos
