id,text,question_code_type,tags,class
41302420,my user get user string user id ldap query search query ldap query builder query base ou people ou foo bar com search scope search scope subtree filter equals filter id user id ldap template search search query get user attributes mapper public attributes mapper get user attributes mapper attributes incremental attributes mapper group attributes mapper default incremental attributes mapper grouplist my user user my user builder id attributes get id get string name attributes get name get string firstname attributes get firstname get string group ids group attributes mapper get values cn build user,function,"['java', 'spring', 'ldap']",ldap
20211629,hashtable string object env hashtable string object env put context provider url ldap ldap wiz com env put context security principal joeuser env put context security credentials joepassword env put context provider url ldap localhost jnditutorial,code_block,"['java', 'jndi']",ldap
39830302,main string args naming exception string ldap ad server ldap string ldap username uid test ou people dc example dc com string ldap password gdyb21lqtc iantv ymt7qvq hashtable string object env hashtable string object env put context security authentication simple ldap username null env put context security principal ldap username ldap password null env put context security credentials ldap password env put context initial context factory com sun jndi ldap ldap ctx factory env put context provider url ldap ad server env put java naming ldap attributes binary object sid dir context ctx initial dir context env,function,"['java', 'ldap', 'jndi', 'liferay-6', 'opendj']",ldap
32751094,configuration order security properties access override order public security configuration web security configurer adapter override configure http security http exception http form login default success url login page login permit all logout logout success url logout permit all http authorize requests ant matchers login permit all request authenticated csrf csrf token repository csrf token repository add filter after csrf header filter csrf filter override configure authentication manager builder auth manager builder exception auth manager builder authentication provider active directory ldap authentication provider user details service user details service bean authentication manager authentication manager provider manager arrays list active directory ldap authentication provider bean authentication provider active directory ldap authentication provider active directory ldap authentication provider provider active directory ldap authentication provider xxx xxx ldaps xxx xxx provider set convert sub error codes to exceptions true provider set use authentication request credentials true provider filter csrf header filter once per request filter override filter internal http servlet request request http servlet response response filter chain filter chain servlet exception ioexception csrf token csrf csrf token request get attribute csrf token class get name csrf null cookie cookie web utils get cookie request xsrf token string token csrf get token cookie null token null token equals cookie get value cookie cookie xsrf token token cookie set path response add cookie cookie filter chain filter request response csrf token repository csrf token repository http session csrf token repository repository http session csrf token repository repository set header name xsrf token repository,class,"['java', 'active-directory', 'redis', 'ldap', 'spring-ldap']",ldap
23957177,list users list user ldap template search base object class person user attributes mapper,code_block,"['java', 'ldap', 'ldap-query']",ldap
21475327,main string args set environment creating initial context hashtable string string env hashtable string string env put context initial context factory com sun jndi ldap ldap ctx factory env put context provider url ldaps myadress authenticate user password mysecret env put context security authentication simple env put context security principal base dn env put context security credentials mypass try create initial context dir context ctx initial dir context env close context done ctx close naming exception print stack trace,function,"['java', 'ldap', 'jndi']",ldap
21032415,javaapplication2 import java util properties import javax naming naming enumeration import javax naming naming exception import javax naming directory dir context import javax naming directory initial dir context import javax naming directory search controls import javax naming directory search result public search ldap main string args the search base level hierarchy search start here use indicates root directory string base ldap filters sort like where clause it constructed standard way based ldap standards the search simple one says entry objectclass value since entries must contain objectclass entries returned string filter objectclass here set connection properties jndi properties env properties the sun provider widely used jndi provider comes java env put dir context initial context factory com sun jndi ldap ldap ctx factory the provider url ldap url tells jndi need connect env put dir context provider url ldap localhost here create dir context object using environment setup this object used communicate server dir context dc initial dir context env above mentioned filter base another important part search criteria scope there three scopes base entry onelevel direct children entry subtree entry decendents tree in jndi object scope indicates base search search controls sc search controls sc set search scope search controls object scope naming enumeration ne null here actually perform search ne dc search base filter sc we cycle naming enumeration returned search ne more retrieve result search result print pretty there methods extracting attributes values without printing well search result sr search result ne next system println sr string here unbind ldap server dc close naming exception nex number exceptions subclassed naming exception in real application probably want handle many differently system err println error nex get message,class,"['java', 'ldap', 'jndi', 'openldap']",ldap
22500765,set string get permissions for user string username ldap context ldap context naming exception set string permissions permissions linked hash set string search controls search ctls search controls search ctls set search scope search controls subtree scope search ctls set returning attributes string prescriptive aci string search filter object class subentry string search base dc testdomain naming enumeration answer ldap context search search base search filter search ctls answer more elements search result sr search result answer next log debug enabled log debug retrieving permissions user sr get name attributes attrs sr get attributes attrs null naming enumeration ae attrs get all ae more attribute attr attribute ae next attr get id equals prescriptive aci log debug enabled log debug permissions found permissions,function,"['java', 'ldap', 'shiro']",ldap
45964491,map string list string user details list string user sams dir context ldap context null map string list string details map null ldap context ldap prop get ldap context string returned atts cn given name member of string search filter object class user or statement string sam list samids building ldap query hic sunt leones search filter sam search filter search filter naming enumeration search result answer ldap context search search base search filter search ctls answer more elements loop results search result sr search result answer next attributes attrs sr get attributes string sam str attrs get amaccount name string sam str replace amaccount name list string prop of sam array list string ldap param returned atts string param str attrs get ldap param string param str replace ldap param extract value properties of sam add param str details map put sam strng properties of sam details map,function,"['java', 'active-directory', 'ldap']",ldap
23260932,hashtable string string environment hashtable string string environment put context provider url ldap url environment put context initial context factory com sun jndi ldap ldap ctx factory environment put context security authentication simple environment put context security protocol ssl environment put context referral follow environment put context security principal principal name environment put context security credentials plain password environment put com sun jndi ldap connect pool true environment put com sun jndi ldap connect timeout context initial ldap context environment null,code_block,"['java', 'jboss', 'ldap', 'initial-context']",ldap
30631530,java io file input stream import java io ioexception import java security privileged action exception import java security privileged exception action import java util hash map import java util hashtable import java util map import java util properties import javax naming context import javax naming naming enumeration import javax naming naming exception import javax naming directory attributes import javax naming directory dir context import javax naming directory search controls import javax naming directory search result import javax naming ldap control import javax naming ldap initial ldap context import javax security auth subject import javax security auth login login context import javax security auth login login exception import javax security auth spi login module public test kerberized ldap runnable main string args runnable rn null args length rn test kerberized ldap args args length rn test kerberized ldap dev projects test kerberized ldap src testkerberizedldap properties print usage rn run string login module class name com sun security auth module krb5login module string koid string soid subject subject dir context ldap context string username string password string ldap host test kerberized ldap string prop file name properties prop properties file input stream stream file input stream prop file name prop load stream stream close ioexception print stack trace system println properties found string prop name prop string property names system println prop name prop get property prop name system println system set property java security krb5 conf prop get property krb conf system set property java security krb5 debug true system set property sun security krb5 debug true ldap host prop get property ldap host username prop get property user password prop get property password subject null ldap context null run init subject subject null init context kerberized exception ex ex print stack trace init context kerberized exception subject as subject privileged exception action object object run exception hashtable string string env hashtable string string env put context initial context factory com sun jndi ldap ldap ctx factory env put context provider url ldap host env put context security authentication gssapi ldap context initial ldap context env control do stuff ldap context search ldap directory null search ldap directory naming exception string base cn users string filter objectclass user search controls sc search controls sc set search scope search controls subtree scope naming enumeration search result ne ldap context search base filter sc num elements system println ne more elements search result sr ne next element attributes attr sr get attributes system println attr get name get num elements system println the number elements returned num elements init subject instantiation exception class not found exception illegal access exception login module module null module login module class name login module class name new instance subject subject map string string options hash map string string map string object shared state hash map string object username null password null shared state put javax security auth login password password char array shared state put javax security auth login name username options put principal username options put store key true options put use first pass true options put principal username options put use ticket cache true options put not prompt true options put renew tgt true options put debug true options put refresh krb5config true module initialize subject null shared state options module login module commit login exception ex ex print stack trace subject null module null module abort login exception ex2 ex2 print stack trace print usage system println system println usage test kerberized ldap property file name system println,class,"['java', 'ldap', 'kerberos', 'gssapi', 'jgss']",ldap
28554949,get ldap connection user sign in object user sign in object ldap context source ctx src ldap context source ctx src set url ldap mjkoldc red com ctx src set user dn mj user sign in object get email ctx src set password user sign in object get password ctx src set referral follow ctx src properties set ldap template tmpl ldap template ctx src set ldap template tmpl override public default user object select user details from ldap user sign in object user sign in object exception default user object user default user object get ldap connection user sign in object ldap query query query base dc metaljunction dc com attributes given name sn mail mobile phone object class user sam account name user sign in object get email user ldap template search for object query context mapper default user object override default user object map from context object ctx naming exception dir context adapter context dir context adapter ctx default user object user default user object user set first name context get string attribute given name user set last name context get string attribute sn user set email context get string attribute mail user set phone context get string attribute mobile phone user exception print stack trace user,function,"['java', 'spring', 'spring-security', 'ldap', 'spring-ldap']",ldap
48256117,ldap test main string args exception ldap test test ldap test test tryit system println test end tryit exception hashtable string string env hashtable string string env put context initial context factory com sun jndi ldap ldap ctx factory env put context provider url ldaps xxx xxx env put context security authentication simple env put context referral ignore env put context security protocol ssl string keystore users dummy downloads ca crt system set property javax net ssl trust store keystore dir context ctx null ctx initial dir context env search controls sc search controls sc set search scope search controls subtree scope naming enumeration search result results ctx search cn directory manager object class sc results more search result search result results next system println search result string javax naming authentication exception print stack trace exception print stack trace ctx null ctx close naming exception ignore,class,"['java', 'ssl', 'ldap', 'jndi']",ldap
42836496,dir context ldap user connect string server url server port string server type string user dn string user password binary attribute naming exception connect ldap server using ldap server table data user dn null user dn empty user password null user password empty map string string environment get ldap environement server url server port server type binary attribute connect user account environment put javax naming context security principal user dn environment put javax naming context security credentials user password initial dir context hashtable string string environment null,function,"['java', 'ldap']",ldap
57335146,get mapping login user name password map string boolean login path variable value user name string username path variable value password string password exception ldap context source context source ldap context source context source set url url context source set user dn user principal name arpa msv net context source set password masterone4408 context source properties set ldap template ldap template ldap template context source and filter filter and filter system println username password filter equals filter cn username ldap template properties set map string boolean response hash map response put deleted ldap template authenticate distinguished name empty path user principal name username msv net password response,function,"['java', 'spring', 'spring-boot', 'spring-security', 'ldap']",ldap
41894162,naming enumeration search result results dir context search ldap search base search filter search controls results more elements list string security groups array list string search result search result results next element naming enumeration ldap attributes search result get attributes get all ldap attributes more attribute attr attribute ldap attributes next attr size attr get string starts with cn gg paa logging service string common name attr get string start index common name index of end index common name index of common name common name substring start index end index security groups add common name,code_block,"['java', 'unit-testing', 'junit']",ldap
48262940,hashtable string string env hashtable string string env put context initial context factory com sun jndi ldap ldap ctx factory env put context provider url ldap provider url env put context security authentication simple env put context security principal ldap principal env put context security credentials ldap credentials ldap context ctx initial ldap context env null,code_block,"['java', 'ldap', 'jndi', 'kerberos', 'gssapi']",ldap
