id,text,question_code_type,tags,class
30093167,string ip with secret secret ip bytes ip with secret get bytes standard charsets utf message digest md message digest get instance md5 md bytes md digest ip bytes system println md5 md bytes system println us ascii string md bytes standard charsets us ascii system println hex hex bin encode md bytes system println base64 base64 encode base64string md bytes system print binary md bytes system print integer binary string substring,code_block,['java'],md5
56007361,array concat length length system arraycopy length system arraycopy length length private string secret abcdefghijuklmno0123456789012346 static string encrypt string own salt exception pass secret get bytes standard charsets utf salt secure random generate seed bytes own salt get bytes standard charsets utf pass and salt array concat pass salt hash key and iv key and iv length hash data array concat hash pass and salt message digest md message digest get instance md5 hash md digest hash data key and iv array concat key and iv hash key value arrays copy of range key and iv iv arrays copy of range key and iv secret key spec key secret key spec key value aes cipher cipher cipher get instance aes cbc pkcs5padding cipher init cipher encrypt mode key iv parameter spec iv data cipher final bytes data array concat array concat salted get bytes standard charsets utf salt data base64 encode data,function,"['java', 'ios', 'swift', 'encryption', 'aes']",md5
51721596,string get md5hash serializable object get checksum object md5 exception rms exception exception generating md5 hash public string get md5hash serializable object get checksum object md5 exception runtime exception exception generating md5 hash string get checksum serializable object string algorithm ioexception no such algorithm exception byte array output stream baos byte array output stream object output stream oos object output stream baos oos write object object message digest md message digest get instance algorithm digest md digest baos byte array datatype converter print hex binary digest,function,"['java', 'md5']",md5
35771123,override public generating pdf buergel agency number inquiry number report number pdfreport retrieval port buergel services get pdfretrieval port pdf response ss null ss port get report buergel agency number inquiry number report number system println jest ok pl done platform client germany de buergel rcs ws b2b v1 report generated buergel exception e2 todo auto generated block e2 print stack trace data handler handler ss get pdf input stream null handler get input stream ioexception e1 todo auto generated block e1 print stack trace date format date format simple date format yyyy mm dd hh mm ss get current date time date date date date local date local date date instant zone zone id system default local date year local date get year month local date get month value day local date get day of month system println date format format date system println year year system println month month system println day day string address entity service get path address file filed file address year month day filed exists filed mkdirs system println directory created system println directory exist string uuid uuid random uuid string system println uuid uuid string hashmd5 get hash md5 date uuid system println hashmd5 hashmd5 output stream os null os file output stream file address year month day hashmd5 pdf os file output stream file wild fly wildfly final wildfly final welcome content hashmd5 txt file not found exception e1 todo auto generated block e1 print stack trace buffer bytes read reset bytes read read buffer os write buffer bytes read system print sss os flush close system print www ioexception e1 todo auto generated block e1 print stack trace public string get hash md5 string string message digest md message digest get instance md5 big integer bi big integer md digest string get bytes bi string no such algorithm exception ex logger get logger md5utils class get name log level severe null ex,function,"['java', 'pdf', 'jakarta-ee', 'jboss']",md5
46541183,string encoder by md5 string str message digest md5 string newstr md5 message digest get instance md5 base64encoder encoder base64encoder newstr encoder encode md5 digest str get bytes utf newstr newstr replace all unsupported encoding exception print stack trace no such algorithm exception print stack trace newstr,function,"['java', 'php', 'md5']",md5
27734525,nonnull static string get auth code nonnull string email nonnull string member external id nonnull string client id nonnull string client secret message digest message digest get message digest md5 string string for hash code email member external id client id client secret message digest update string for hash code get bytes big integer message digest digest string,function,"['java', 'cryptography', 'md5']",md5
24866580,create checksum main string args string test hello world byte array input stream bis byte array input stream test get bytes system println md5 checksum file using java check sum bis system println md5 checksum file using java check sum bis string check sum input stream fis string checksum null message digest md message digest get instance md5 using message digest update method provide input buffer num of bytes read num of bytes read fis read buffer md update buffer num of bytes read hash md digest checksum big integer hash string use truncates leading zero exception ex checksum,class,"['java', 'md5', 'checksum']",md5
56153380,java io file java io file input stream java io file output stream java io ioexception java io input stream java security general security exception java security message digest javax crypto cipher javax crypto secret key javax crypto secret key factory javax crypto spec desede key spec javax crypto spec iv parameter spec test encryptor main string args string key string asdasdasd key get en key key string string file path file test png string file path encryp file test encryp png archivo decrypt encrypt file file path key file output stream fos file output stream file path encryp fos write archivo decrypt exception print stack trace encrypt file string file path key general security exception ioexception file file file file path length file length input stream file input stream file you cannot create array using type it needs type before converting type check ensure file larger integer max value length integer max value file large create array hold data bytes length read bytes offset num read offset bytes length num read read bytes offset bytes length offset offset num read close input stream bytes close ensure bytes read offset bytes length ioexception could completely read file file get name secret key factory desede key factory secret key factory get instance desede secret key desede key factory generate secret desede key spec key iv parameter spec ivspec iv parameter spec cipher desede cbccipher cipher get instance desede cbc pkcs5padding desede cbccipher init cipher encrypt mode ivspec desede cbccipher init cipher decrypt mode ivspec encrypted desede cbccipher final bytes encrypted get en key string sp key des key null des key1 md5 sp key des key des key1 length des key des key1 des key exception print stack trace des key md5 string str src return byte null message digest md5 message digest get instance md5 return byte md5 digest str src get bytes gbk exception print stack trace return byte,class,"['java', 'encryption', '3des']",md5
53193429,java security message digest import java util arrays public test main string args exception string key string 01100880200013048720181107174008pc string message digest md5 message digest get instance md5 md5 update key string get bytes utf temp md5 digest get bytes utf string result temp length result result integer hex string 0x ff temp 0x ffffff00 substring system println result,class,"['java', 'c#', 'integer', 'message-digest']",md5
39368542,encrypt data string data hello world message digest md null md message digest get instance md5 no such algorithm exception print stack trace md null md update data get bytes string data encoded base64 encode to string md digest data encoded print qq ns wtgd ueft6mb5y4 5q,function,"['java', 'swift', 'base64']",md5
37034493,arbitrarily selected salt sequence private salt 0x43 0x76 0x95 0xc7 0x5b 0xd7 0x45 0x17 public cipher make cipher string pass boolean decrypt mode general security exception use key factory derive corresponding key passphrase pbekey spec key spec pbekey spec pass char array secret key factory key factory secret key factory get instance pbewith md5and des pbkdf2with hmac sha256 secret key key key factory generate secret key spec create parameters salt arbitrary number iterations pbeparameter spec pbe param spec pbeparameter spec salt set cipher cipher cipher cipher get instance pbewith md5and des set cipher mode decryption encryption decrypt mode cipher init cipher encrypt mode key pbe param spec cipher init cipher decrypt mode key pbe param spec cipher encrypts one file second file using key derived passphrase public encrypt file string file name string pass dec data enc data file file file file name generate cipher using pass cipher cipher main make cipher pass true read file file input stream stream file input stream file block size figure many bytes padded padded count block size file length block size figure full size including padding padded file length padded count dec data padded stream read dec data stream close write padding bytes per pkcs5 algorithm file length padded dec data padded count encrypt file data enc data cipher final dec data write to file file name enc data exception print stack trace private write to file string path data file file file path write encrypted data file file output stream stream file output stream file stream write data stream close exception print stack trace,code_block,"['java', 'encryption', 'cryptography', 'md5', 'des']",md5
18283798,string md5 string md5 java security message digest md java security message digest get instance md5 array md digest md5 get bytes string buffer sb string buffer array length sb append integer hex string array 0x ff 0x100 substring sb string java security no such algorithm exception null,function,"['java', 'hashcode']",md5
