id,text,question_code_type,tags,class
18124686,string decrypt string pwd input base64 decode pwd rsa cipher cipher get instance rsa ecb no padding no such algorithm exception null no such padding exception null key factory key factory key factory key factory get instance rsa no such algorithm exception null string mod string string private exponent string rsaprivate key spec prv key spec rsaprivate key spec big integer mod string big integer private exponent string rsaprivate key prv key prv key rsaprivate key key factory generate private prv key spec invalid key spec exception null rsa cipher init cipher decrypt mode prv key invalid key exception null cipher text cipher text rsa cipher final input illegal block size exception null bad padding exception null string cipher text,function,"['java', 'google-app-engine', 'rsa']",rsa
23113242,load key file private key general security exception ioexception pkcs8encoded key spec private key spec pkcs8encoded key spec private key key factory kf key factory get instance rsa private key pk kf generate private private key spec rsacipher init cipher decrypt mode pk aes key file input stream fis file input stream cipher input stream input cipher input stream fis rsacipher input read aes key aes key spec secret key spec aes key aes input close fis close,function,"['java', 'encryption']",rsa
23344522,encrypt data to encrypt public key pubk system println encrypt cipher cipher cipher get instance rsa ecb pkcs1padding cipher init cipher encrypt mode pubk encrypted data to encrypt length system println imagebyte length data to encrypt length temp temp2 null repeats data to encrypt length system println iterations repeats repeats system println iteration number offset temp data to encrypt offset temp2 cipher final temp encrypted offset temp2 temp2 null encrypted exception null public decrypt bytes in private key prvk system println decrypt cipher cipher cipher get instance rsa ecb pkcs1padding system println read prvk cipher init cipher decrypt mode prvk decrypted bytes in length system println imagebyte length bytes in length temp temp2 null repeats bytes in length system println iterations repeats repeats system println iteration number offset temp bytes in offset temp2 cipher final temp decrypted offset temp2 temp2 null decrypted exception system err println null,function,"['java', 'encryption', 'rsa']",rsa
37506383,test pack import javacard framework import javacard security crypto exception import javacard security key builder import javacard security key pair import javacard security rsaprivate key import javacard security rsapublic key import javacardx crypto cipher public test applet rsaprivate key rsapri key rsapublic key rsapub key cipher cipher key pair key pair input result ins gen keypair 0x10 ins init cipher enc 0x20 ins enc 0x21 ins init cipher dec 0x30 ins dec 0x31 p1 chain apdu 0x00 p1 last apdu 0x01 install array offset length test test rsapri key rsaprivate key key builder build key key builder type rsa private key builder length rsa false rsapub key rsapublic key key builder build key key builder type rsa public key builder length rsa false key pair key pair rsapub key rsapri key cipher cipher get instance cipher alg rsa pkcs1 false input jcsystem make transient byte array jcsystem clear on reset result jcsystem make transient byte array jcsystem clear on reset register process apdu apdu selecting applet buff apdu get buffer ins buff iso7816 offset ins p1 buff iso7816 offset p1 lc buff iso7816 offset lc 0x00ff data offset iso7816 offset cdata ins ins gen keypair key pair gen key pair ins init cipher enc cipher init rsapub key cipher mode encrypt ins enc apdu set incoming and receive p1 p1 chain apdu util array copy non atomic buff data offset input 0x00 lc p1 p1 last apdu util array copy non atomic buff data offset input lc cipher final input 0x00 result 0x00 crypto exception reason get reason isoexception throw it 0x6b00 reason apdu set outgoing apdu set outgoing length apdu send bytes long result 0x00 ins init cipher dec cipher init rsapri key cipher mode decrypt ins dec apdu set incoming and receive p1 p1 chain apdu util array copy non atomic buff data offset input 0x00 lc p1 p1 last apdu util array copy non atomic buff data offset input lc cipher final input 0x00 result 0x00 crypto exception reason get reason isoexception throw it 0x6b00 reason apdu set outgoing apdu set outgoing length apdu send bytes long result 0x00,class,"['java', 'javacard']",rsa
50249825,cryptogaphy import java io file input stream import java io file output stream import java io ioexception import java io input stream import java io output stream import javax crypto cipher import javax crypto cipher input stream import javax crypto key generator import javax crypto secret key import javax crypto spec iv parameter spec import java security public key import java security secure random import java security cert certificate import java security key pair import java security key import java security key store import java security key store exception import java security no such algorithm exception import java security private key import java security unrecoverable key exception import java security cert certificate exception public trythree public main string args exception generate symmetric key key generator key generator key generator get instance aes secure random secure random secure random key bit size key generator init key bit size secure random secret key symmetric key key generator generate key key key symmetric key generate random iv iv bytes iv parameter spec iv iv parameter spec iv bytes system println random iv iv file encryption file input stream fis file input stream users victoria desktop plain data txt file output stream fos file output stream users victoria desktop encrypted data txt cipher cipher cipher get instance aes cbc pkcs5padding cipher init cipher encrypt mode key iv secure random get instance sha1prng cipher input stream cis cipher input stream fis cipher write cis fos load alice keystore input method changed alice store pass char array alice keypass alice key char array file input stream alice input file input stream users victoria desktop alice keystore jks key store alice keystore key store get instance jks alice keystore load alice input alice store pass string alias alice string alias2 bobcert key alice key alice keystore get key alias alice keypass public key bob public key null retrieve alice key bob key alice keystore alice key private key certificate cert alice keystore get certificate alias2 bob public key cert get public key key pair bob public key private key alice key system println private key alice key system println bob key bob public key encrypt symmetric key asymmetric rsa algorithm encryptedkey symmetric key get encoded cipher key cipher cipher get instance rsa key cipher init cipher encrypt mode bob public key key cipher final encryptedkey system println asymmetric secret key encryptedkey system println symmetric key key key store exception no such algorithm exception unrecoverable key exception certificate exception system println write input stream output stream ioexception buf num of bytes read num of bytes read read buf write buf num of bytes read close close system println encryption completed,class,"['java', 'encryption', 'rsa', 'keystore', 'dsa']",rsa
29355140,java io import java io ioexception import java security key factory import java security interfaces rsaprivate key import java security general security exception import java security spec pkcs8encoded key spec import javax crypto cipher import javax crypto cipher input stream import org apache commons codec binary base64 import org apache commons io file utils public rsa encryption cipher pk cipher rsa encryption general security exception create rsa key cipher pk cipher cipher get instance rsa string load key file string private key general security exception ioexception exception private key private key replace all encoded key base64 decode base64 private key create key pkcs8encoded key spec private key spec pkcs8encoded key spec encoded key key factory kf key factory get instance rsa rsaprivate key pk rsaprivate key kf generate private private key spec read aes key pk cipher init cipher decrypt mode pk encrypted bytes file utils read file to byte array byte array input stream file in byte array input stream encrypted bytes cipher input stream cis cipher input stream file in pk cipher data input stream dis data input stream cis decrypted data dis read decrypted data string key string decrypted data key,class,"['java', 'encryption', 'cryptography', 'aes', 'rsa']",rsa
42481268,java math big integer import java security invalid key exception import java security key pair import java security key pair generator import java security no such algorithm exception import java security no such provider exception import java security security import java security interfaces rsaprivate key import java security interfaces rsapublic key import java security spec invalid key spec exception import javax crypto bad padding exception import javax crypto cipher import javax crypto illegal block size exception import javax crypto no such padding exception import org bouncycastle jce provider bouncy castle provider public crypto and big integer fix main string args no such algorithm exception no such provider exception invalid key exception no such padding exception illegal block size exception bad padding exception invalid key spec exception security add provider bouncy castle provider system println input encrypted decrypted crypto and big integer fix keygen big integer encryptbytes big integer decryptbytes multiple tests powers reason encryptbytes crypto and big integer fix encrypt big integer system print encryptbytes int value decryptbytes crypto and big integer fix decrypt encryptbytes system println decryptbytes int value rsaprivate key priv rsapublic key pub keygen no such algorithm exception no such provider exception invalid key spec exception key pair generator generator key pair generator get instance rsa generator initialize key pair key pair generator generate key pair priv rsaprivate key key pair get private pub rsapublic key key pair get public encrypt javas api big integer encrypt big integer bg no such algorithm exception no such padding exception invalid key exception illegal block size exception bad padding exception no such provider exception encoded cipher cipher cipher get instance rsa ecb no padding cipher init cipher encrypt mode pub encoded cipher final bg byte array big integer encoded decrypt manually big integer decrypt big integer bg big integer decoded bg mod pow priv get private exponent priv get modulus decoded,class,"['java', 'cryptography', 'bouncycastle', 'biginteger']",rsa
16621800,encryptionalgorithms import java math big integer import java util author yazan sources http introcs cs princeton edu java 78crypto rsa java html http www math rutgers edu greenfie gs2004 euclid html http www youtube com watch ejpp vh osum public encryption algorithms big integer encrypt decrypt message user user user big integer one big integer big integer bad data big integer big integer zero big integer main string args pke pke private key encryption scanner input scanner system random rand1 random system nano time random rand2 random system nano time create second obscure random number big integer probable prime rand1 big integer probable prime rand2 multiply subtract one multiply subtract one big integer must prime gcd make algorith later mod inverse weakest link system println public keys system println system println private keys system println system println please enther message encrypted big integer mes big integer input next big integer ans encrypt mes decrypt ans big integer encrypt big integer num big integer big integer encrypt num mod pow system println encrypted encrypt encrypt big integer decrypt big integer enc big integer big integer decrypt enc mod pow system println decrypted decrypt decrypt,class,"['java', 'rsa', 'biginteger', 'public-key-encryption']",rsa
55044052,public key get public key string public key ioexception no such algorithm exception invalid key spec exception pemparser pp pemparser string reader public key subject public key info subj pub key info subject public key info pp read object rsakey parameters rsa rsakey parameters public key factory create key subj pub key info rsapublic key spec rsa spec rsapublic key spec rsa get modulus rsa get exponent key factory kf key factory get instance rsa public key key kf generate public rsa spec system println key key,function,"['java', 'rsa', 'verify']",rsa
23221785,rsaencrypter exception bytes textfield1 get string get bytes new rsapub key null exception generate rsa keys first asymmetric block cipher eng rsaengine eng pkcs1encoding eng eng init true new rsapub key eng process block bytes bytes length,function,"['java', 'encryption', 'encoding', 'rsa']",rsa
