id,text,question_code_type,tags,class
22892744,test transactional test0 hibernate template template hibernate template session factory user user template execute hibernate callback user override user in hibernate session session hibernate exception sqlexception user session load user 1l session session entity manager unwrap session assert assert true session contains user aspect suppress warnings unused logger log logger factory get logger persistence context entity manager entity manager around execution org springframework orm hibernate3 hibernate template allow create object proceeding join point pjp boolean false around execution org springframework orm hibernate3 hibernate template clear disallow clear proceeding join point pjp runtime exception clear allowed around execution org springframework orm hibernate3 hibernate template get session object proceeding join point pjp entity manager unwrap session,function,"['java', 'spring', 'hibernate', 'jpa']",session management
39505799,authentication authentication sample sample get authority authentication set authenticated true security context holder get context set authentication authentication collection granted authority get authority collection granted authority granted authorities array list granted authority granted authority granted authority granted authority string get authority role required role granted authorities add granted authority granted authorities,code_block,"['java', 'spring-mvc', 'spring-security']",session management
41106882,login success handler ilogin serivice login serivice set login serivice ilogin serivice login serivice login serivice login serivice login success handler string default target url default target url override authentication success http servlet request request http servlet response response authentication authentication ioexception servlet exception authentication success request response authentication login dto user login dto authentication get principal http session session request get session true session time out user get session time out session set max inactive interval session time out user get keep login record yn string work station ip request get remote addr login serivice keep login record user get user name user get branch code work station ip,class,"['java', 'spring', 'spring-mvc', 'spring-security']",session management
31473355,suppress warnings deprecation array list member list members session session new null array list member membr array array list member this step read hibernate cfg xml prepare hibernate use configuration configuration configuration configuration configure hibernate cfg xml ssrb apply settings configuration get properties session factory session factory new configuration build session factory ssrb build session new session factory new open session string sql query select from member membr query query session new create query sql query iterator query iterate next object row object next member membr obj member string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row string row membr array add membr obj exception exception system println exception list member function persistence manager exception print stack trace actual contact insertion happen step session new flush session new close membr array,function,"['java', 'hibernate', 'session', 'nullpointerexception']",session management
3792874,filter todo auto generated constructor stub destroy todo auto generated method stub filter servlet request request servlet response response filter chain chain ioexception servlet exception http session session http servlet request request get session false session null system println inside login filter http servlet response response send redirect expense management login html illegal state exception ise system println session not yet created chain filter request response init filter config config servlet exception todo auto generated method stub expense authentication filter expense authentication todo auto generated constructor stub destroy todo auto generated method stub filter servlet request request servlet response response filter chain chain ioexception servlet exception illegal state exception http session session http servlet request request get session false session null system println management filter http servlet response response send redirect expense management login html illegal state exception ise system println session not yet created chain filter request response init filter config config servlet exception todo auto generated method stub,class,"['java', 'servlets', 'servlet-filters']",session management
29902466,transactional read only true rollback for exception customer daoimpl hibernate dao support customer dao adds customer transactional propagation propagation required rollback for exception add customer customer customer session session get session system println m1 hash code session hash code thread id thread current thread get id session save customer customers list transactional propagation propagation required rollback for exception transactional read only true list customer list customer session session get session system println m2 hash code session hash code thread id thread current thread get id null logic get list based condition customer dao add customer customer customer dao list customer m1 hash code thread id m2 hash code thread id,invalid,"['java', 'spring', 'hibernate', 'spring-transactions', 'spring-orm']",session management
31343508,transactional service loginuser details service user login service impl user details service autowired person dao person dao autowired user assembler user assembler override user details load user by username string username data access exception system println username username person person person dao find person by user name username lower case person null wrong username password user assembler build user from user entity person service userassembler transactional user assembler transactional user build user from user entity person user entity system println we userassembler user entity get email string username user entity get username lower case string password user entity get password enabled user entity enabled account non expired user entity account non expired credentials non expired user entity credentials non expired account non locked user entity account non locked collection granted authority authorities array list authorities add simple granted authority role user user username password enabled account non expired credentials non expired account non locked authorities thread thread thread runnable override run log username username string jsessionid rest execute http spring security check http method post request callback override with request client http request request ioexception request get body write username username password password get bytes response extractor string override string extract data client http response response ioexception list string cookies response get headers get cookie cookies null cookies response get headers get set cookie string cookie cookies get cookies size system println cookie cookie the method gets user logged always get null controller method reply rest get for object http dashboard string start cookie index of end cookie index of cookie substring start end thread start http headers request headers http headers request headers add cookie jsessionid static rest template jsessionid http entity request entity http entity null request headers response entity rss response rest exchange http dashboard http method get request entity string string abc string rss response get body,code_block,"['java', 'spring', 'spring-mvc', 'spring-security', 'resttemplate']",session management
23016822,session session hibernate util get db2session factory get current session query query session create query query string builder string set parameter org id request get org id int value set parameter bus unit id request get business unit id int value query set max results hibernate constants max results,code_block,"['java', 'sql', 'hibernate', 'transactions', 'hibernate-mapping']",session management
4934330,com jr utils org hibernate session factory org hibernate cfg configuration hibernate utils session factory session factory build session factory session factory build session factory create session factory hibernate cfg xml configuration configure build session factory throwable ex make sure log exception might swallowed system err println initial session factory creation failed ex ex com jr db org hibernate session factory org hibernate classic session com jr utils hibernate utils db wrapper session factory session factory null session session db wrapper set session factory set session factory session factory hibernate utils build session factory session session factory get current session add new item db item session get transaction begin session save db item session get transaction commit exception system err println error exception adding item table session close session factory close false remove item string uid modify item string uid item logger logger logger get logger user controller user db user db request mapping value user register success method request method post string submit register form valid user user binding result result validate data recieved user logger info validate data recieved user result errors logger info form result get error count errors account create form everthings ok add user details database logger info everthings ok add user details database user db user db user db add new item user display success auto log user system account main,invalid,"['java', 'hibernate', 'spring-mvc']",session management
35322072,entity table name group group id generated value strategy generation type auto column name group id id string name many to many cascade cascade type all join table name users groups join columns join column name group id inverse join columns join column name user id set user users hash set user group string name name name setters getters entity table name users user id generated value column name user id id string username string password string email many to many mapped by users set group groups hash set group user string username string password string email username username password password email email add group group group groups add group setters getters user group main main string args session session hibernate util get session factory open session session begin transaction group group admin group administrator group group group guest group guest group user user1 user tom tomcat tom codejava net user user2 user mary mary mary codejava net group admin add user user1 group admin add user user2 group guest add user user1 user1 add group group admin user2 add group group admin user1 add group group guest session save group admin session save group guest session get transaction commit session close hibernate util session factory session factory build session factory session factory build session factory create session factory hibernate cfg xml configuration configure build session factory throwable ex make sure log exception might swallowed system err println initial session factory creation failed ex ex session factory get session factory session factory shutdown close caches connection pools get session factory close,class,"['java', 'hibernate']",session management
39041234,godziszewski patryk electronics store config java util properties javax sql data source org hibernate session factory org springframework beans factory annotation autowired org springframework context annotation bean org springframework context annotation component scan org springframework context annotation configuration org springframework context annotation property source org springframework core env environment org springframework jdbc core namedparam org springframework jdbc datasource org springframework jdbc datasource driver manager data source org springframework orm hibernate5 org springframework orm hibernate5 local session factory bean org springframework transaction annotation configuration property source classpath database properties data base config autowired environment environment bean local session factory bean session factory local session factory bean factory bean local session factory bean factory bean set data source data source factory bean set packages to scan godziszewski patryk electronics store domain factory bean set hibernate properties hibernate properties factory bean bean data source data source driver manager data source dm driver manager data source dm set url environment get required property jdbc url dm set username environment get required property jdbc username dm set password environment get required property jdbc password driver manager data source properties hibernate properties properties properties properties properties put hibernate dialect environment get required property hibernate dialect properties put hibernate show sql environment get required property hibernate show sql properties put hibernate format sql environment get required property hibernate format sql properties bean autowired transaction manager session factory tx manager tx manager set session factory tx manager,class,"['java', 'mysql', 'spring', 'hibernate']",session management
24717403,javax websocket close reason javax websocket on close javax websocket on message javax websocket session javax websocket server server endpoint org slf4j logger org slf4j logger factory com twitter hbc core client server endpoint tweets tweet stream server logger logger logger factory get logger tweet stream server on message tweets string message session client ioexception interrupted exception logger debug registering search term message twitter hose bird twitter hose bird twitter hose bird client twitter client twitter hose bird get instance message twitter client done client get async remote send text twitter hose bird get msg queue take on close close close reason reason system println closing connection logger warn closing connection reason var connection web socket ws tweetstream snapshot tweets connection onmessage function console log server data connection send fifa on close close close reason reason system println closing connection logger warn closing connection reason test test urisyntax exception ioexception deployment exception interrupted exception system println uri get endpoint url tweet stream client latch count down latch session session connect to server tweet stream client tweets assert not null session todo harit assert correct things assert true tweet stream client latch await time unit seconds assert equals hello tweet stream client response,invalid,"['java', 'javascript', 'jboss', 'websocket']",session management
36826728,session factory get session factory data exception session factory null session factory session factory null configuration config configuration hibernate config null config configure config configure hibernate config session factory config build session factory throwable ex ex print stack trace data exception data exception general error code failed create session factory object ex session factory session factory,function,"['java', 'mysql', 'hibernate']",session management
15988504,java util list org hibernate hibernate exception org hibernate session org hibernate session factory org hibernate cfg configuration org hibernate service service registry org hibernate service service registry builder sessions test session factory session factory service registry service registry param args suppress warnings unchecked main string args session factory configure session factory session session session factory open session session begin transaction list obj result list obj session create query from obj list obj obj result system println obj get obj id session get transaction commit session close session factory null session factory close session factory configure session factory hibernate exception configuration config configuration configuration configure service registry service registry builder apply settings config get properties build service registry session factory config build session factory service registry session factory,class,"['java', 'sql-server-2008', 'hibernate']",session management
24793247,configuration component scan base packages foobar equiv tx annotation driven enable aspect jauto proxy proxy target class true equiv aop aspectj autoproxy my spring configuration autowired bean factory bean name data source data source data source javax naming initial context ic javax naming initial context javax sql data source ic lookup foobar configuration get instance get datasource jndiname naming exception ne runtime exception failed access jndi lookup using foobar configuration get instance get datasource jndiname ne bean name session factory session factory session factory builder data source builder scan packages foobar om builder set jta transaction manager didn work gave org hibernate transaction exception could register synchronization container transaction properties props build hibernate properties builder add properties props builder build session factory these taken comments application config conversion properties build hibernate properties properties props properties set schema hibernate use props set property hibernate schema foobar props set property hibernate dialect org hibernate dialect db2dialect props set property hibernate hbm2ddl auto validate sets debug level hibernate sql generation layer props set property hibernate show sql true props set property hibernate generate statistics false props set property hibernate order updates true props set property hibernate order inserts true not needed spring http stackoverflow com questions integrate spring hibernate session transaction management props set property hibernate current session context org hibernate context internal props set property hibernate cache use query cache false props set property hibernate cache use second level cache false props bean name transaction manager transaction manager session factory bean name get exception processor,class,"['java', 'spring', 'hibernate', 'websphere-8']",session management
41724970,enable web security pre post enabled true enables pre authorize methods web security config autowired ldapconfiguration bean ldap bean autowired configure global auth exception here goes ldap connection stuff add custom ldap token provider authentication provider chain auth authentication provider authenticator authorities populator creating ldap provider using authenticator populator auth authentication provider authenticator authorities populator configuration order configure filters configure http security http exception http csrf disable http add filter before management endpoints authorization configuration order configure http security http exception http ant matcher manage health authorize requests request permit all api authentication authorization configuration order autowired authentication entry point autowired rest auth success handler auth success handler autowired rest auth failure handler auth failure handler autowired rest logout success handler logout success handler string login path api authenticate string username username string password password configure http security http exception csrf configuration http csrf disable http ant matcher login path authorize requests request permit all http ant matcher api stateless session creation session created used spring security session management session creation policy session creation policy stateless exception handling authentication entry point authentication entry point form login permit all login processing url login path username parameter username password parameter password success handler auth success handler failure handler auth failure handler logout permit all logout success handler logout success handler http authorize requests request authenticated jsp authentication authorization configuration order override configure http security http exception csrf configuration http csrf disable static content http authorize requests ant matchers css permit all ant matchers images permit all ant matchers scripts permit all ant matchers fonts permit all ant matchers login anonymous login logout configuration http form login login page login htm permit all default success url index htm name failure url login htm error true logout permit all logout success url login htm invalidate http session true delete cookies jsessionid url roles authorizations http authorize requests request authenticated override authentication attempt authentication http servlet request request http servlet response response authentication exception save password later string username request get parameter username string password request get parameter password token username password null token auth ticket otp string restored password string username string password rest auth login ticket otp username password otp otp auth ticket get otp otp auth ticket get otp otp set otp auth ticket otp otp otp autowired token utils token utils ldap authenticator authenticator ldap authorities populator authorities populator authenticator authorities populator override authentication authenticate authentication authentication authentication exception token authenticate authentication token set otp token utils get ticket token token override supports class authentication assignable from authentication,class,"['java', 'spring-mvc', 'authentication', 'spring-security']",session management
19546688,integer add equip string dis string ref string type session session session factory open session current session session factory get current session transaction tx null integer equip id null tx current session begin transaction start transaction equip equip equip dis ref type equip id integer current session save equip tx commit hibernate exception tx null tx rollback print stack trace session close equip id,function,"['java', 'mysql', 'hibernate']",session management
31423696,string authentication user info get user login id business services username null status failure3 status system println get username get password username password user name stored session check entered user name password username null password null system println inside function add user name session session map put username username status login authentication username password status success otl user list obtain list system println size otl user list size status string logout session map org apache struts2 dispatcher session map org apache struts2 dispatcher session map session map invalidate session map contains key user name session map remove username system println session killed status success illegal state exception print stack trace success,function,"['java', 'jsp', 'authentication', 'parameters', 'struts2']",session management
43426312,repository customer dao impl customer dao autowired session factory session factory override list customer get customers session session session factory get current session session begin transaction query customer query session create query from customer customer list customer customers query get result list session get transaction commit customers,class,"['java', 'hibernate', 'spring-boot']",session management
10783992,app init string dispatcher servlet name dispatcher startup servlet context container servlet exception container set init parameter log4j config location log4j properties container add listener log4j config listener root context root context register app config manage lifecycle root application context container add listener context loader listener root context create dispatcher servlet spring application context dispatcher context dispatcher context register web config register map dispatcher servlet servlet registration dynamic dispatcher container add servlet dispatcher servlet name dispatcher servlet dispatcher context dispatcher set load on startup dispatcher add mapping filter shiro javax servlet filter registration dynamic filter reg container add filter shiro filter delegating filter proxy filter reg set init parameter target filter lifecycle true filter reg null true dispatcher servlet name configuration component scan base packages com test webapp controller com test webapp util com test webapp login import resource classpath persistence xml app config bean name json view mapping jackson json view json view mapping jackson json view mapping jackson json view mapping jackson json view mapping jackson json view set content type application json mapping jackson json view,class,"['java', 'spring', 'mongodb', 'shiro']",session management
60491440,repeat message string text delay action listener listener event system println text toolkit get default toolkit beep timer delay listener,function,"['java', 'lambda']",session management
22370819,listener listener org springframework security web session listener listener session management invalid session url home concurrency control max sessions error maximum exceeded true session registry ref session registry session management beans bean id session registry org springframework security core session session registry impl controller request mapping api admin rest admin controller set simple granted authority auths hash set auths add simple granted authority role user autowired session registry session registry request mapping user logout response body string logout request body account account user user user account get username auths list session information infos session registry get all sessions false session information info infos info expire now expire session session registry remove session information info get session id remove session ok,invalid,"['java', 'spring', 'spring-mvc', 'spring-security']",session management
32091225,long save employee employee emp session session configuration configure build session factory open session session begin transaction long id long session save emp session get transaction commit session close id,function,"['java', 'hibernate']",session management
30851833,bean name session factory autowired session factory get session factory data source data source exception spring session factory bean data source spring session factory bean add annotated classes cv sent event properties hibernate properties properties hibernate properties put hibernate connection driver org postgresql driver hibernate properties put hibernate cache use second level cache true hibernate properties put hibernate hbm2ddl auto validate hibernate properties put hibernate dialect org hibernate dialect postgre sqldialect hibernate properties put hibernate format sql false hibernate properties put hibernate jdbc use scrollable resultsets true hibernate properties put hibernate cache region factory org hibernate cache ehcache eh cache region factory hibernate properties put org hibernate cache ehcache ehcache xml spring session factory bean add properties hibernate properties spring session factory bean build session factory override transactional read only true list cv sent report search by website account string website string account string cvs string budget filter string sql select sent website account select sum count sent website sponsoraccountname account cvsentevents website like website sponsoraccountname like account sponsoraccountname is null account group website sponsoraccountname filter for cvs cvs list object list array list object suppress warnings unchecked list object item list get session create sqlquery sql set parameter website website set parameter account account list list add all item list budget filter list run with spring junit4class runner context configuration classes spring junit context transactional cv sent event dao test autowired cv sent event dao sut test find all the items new cv sent event website1 account1 new cv sent event website2 account2 new cv sent event website3 account3 list cv sent report actual sut search by website account website account assert equals actual size,function,"['java', 'spring', 'hibernate', 'junit', 'spring-orm']",session management
7299895,repository transactional rollback for throwable contained dao transactional dao contained delete string id session session get session if position associated contained item delete remove container collection position position position session create criteria position create criteria contained add restrictions eq id id unique result position null position get container get positions remove position session delete position delete contained item contained object session load contained id session delete contained delete contained item contained object session load contained id session delete contained,code_block,"['java', 'hibernate', 'database-design', 'hibernate-mapping']",session management
30354233,com journaldev spring chat org cometd annotation org cometd bayeux server bayeux server org cometd server bayeux server impl org springframework beans beans exception org springframework beans factory config org springframework context annotation bean org springframework stereotype component org springframework web context servlet context aware javax annotation post construct javax annotation pre destroy javax inject inject javax servlet servlet context component bayeux initializer servlet context aware bayeux server bayeux server processor inject set bayeux server bayeux server bayeux server bayeux server bayeux server post construct init processor bayeux server pre destroy destroy system println bayeux pre destroy object object bean string name beans exception processor process dependencies bean processor process configurations bean processor process callbacks bean bean object object bean string name beans exception bean object bean string name beans exception processor deprocess callbacks bean bean init method start destroy method stop bayeux server bayeux server bayeux server impl set servlet context servlet context servlet context servlet context set attribute bayeux server attribute bayeux server,class,"['java', 'spring', 'spring-mvc', 'cometd', 'spring-scheduled']",session management
21182660,http servlet request current request servlet context servlet context session session http session http session shiro http session session current request servlet context,code_block,"['java', 'session', 'tomcat', 'servlets', 'shiro']",session management
