id,text,question_code_type,tags,class
55693251,string password encrypt string input string password input iterations string salt salt secret key factory factory secret key factory get instance pbkdf2with hmac sha512 password chars password char array key spec spec pbekey spec password chars salt get bytes iterations secret key key factory generate secret spec password hash key get encoded secret key secret secret key spec key get encoded aes input secret string no such algorithm exception todo auto generated block print stack trace invalid key spec exception todo auto generated block print stack trace input,function,"['java', 'passwords', 'sha512', 'secret-key']",sha512
14772853,string process sha512 string pw string salt rounds md message digest get instance sha no such algorithm exception print stack trace runtime exception no such algorithm string result hash pw pw salt rounds system println result result string hash pw string pw string salt rounds salt pw string appended salt string builder append append salt append string salt appended salt get bytes iso pw pw get bytes iso runtime exception unsupported encoding digest run pw salt log lcat first hash base64 encode bytes digest rounds digest run digest salt base64 encode bytes digest run input salt md update input md digest salt,function,"['java', 'php', 'sha512']",sha512
36425758,user string name string email string password name name email email creation date date password hash hash password password get creation date request mapping method request method post response status http status created response body user create user request body user user repository save user entity user column long id column nullable false string name column nullable false unique true string email column nullable false string password hash creation timestamp date creation date constructors user user string name string email string password name name email email password hash hash password password get creation date additional methods string hash password string password date date message digest sha512 null sha512 get instance sha no such algorithm exception print stack trace string password proposal password date string password digest password digest sha512 digest password proposal get bytes utf print stack trace hex encode hex string password digest compare passwords string password string password hash hash password password get creation date equals password hash true false getters setters id generated value strategy generation type identity long get id id set id long id id id string get name name set name string name name name string get email email set email string email email email string get password hash password hash set password hash string password password hash password generated value generation time insert date get creation date creation date set creation date date creation date creation date creation date string override string string string builder sb string builder user sb append id append id sb append name append name append sb append email append email append sb append password hash append password hash append sb append creation date append creation date sb append sb string,code_block,"['java', 'spring', 'hibernate']",sha512
45817346,java security message digest java security no such algorithm exception java util formatter java util logging level java util logging logger author martin new main param args command line arguments main string args todo code application logic integer integer block integer put values matrix integer block integer block length integer block length integer block convert integer block string string str int to str integer block system println original string str hash string using sha512 sha byte result sha512 str print generated key hex system println byte array2hex method byte array2hex sha byte result system println byte array2hex2 method byte array2hex2 sha byte result print generated key decimal system print decimal values bytes sha byte result length system print sha byte result system println compare decimal correspondig hex sha byte result length system println bytes decimal sha byte result hexadecimal integer string sha byte result 0xff 0x100 substring string int to str integer integer block string builder sb string builder integer block length integer block length sb append integer block string string block string block concat integer block string sb string string byte array2hex bytes formatter formatter formatter bytes formatter format 02x formatter string another solution string byte array2hex2 bytes string builder sb string builder bytes length sb append integer string bytes 0xff 0x100 substring sb string sha512 string str bytes null message digest md message digest get instance sha md update str get bytes bytes md digest no such algorithm exception ex logger get logger new main get name log level severe null ex bytes,class,"['java', 'hex', 'decimal', 'sha512']",sha512
51298371,var crypto require crypto var iv crypto random bytes var encrypt function data key var decode key crypto create hash sha512 update key utf digest slice var cipher crypto create cipheriv des ede cbc decode key iv cipher update data utf8 hex cipher hex var data abc101 var key var cipher encrypt data key console log cipher java security message digest java security spec key spec java util arrays javax crypto cipher javax crypto secret key javax crypto secret key factory javax crypto spec desede key spec javax crypto spec iv parameter spec javax crypto spec secret key spec org apache commons codec binary base64 password encryptor main string args string passwd abc101 string msg id string result passwd null passwd equals msg id null msg id equals system println wrong inputs result password encryptor encrypt password msg id passwd system println result exception system println exception password encryption string encrypt password string msg id string password string final value message digest digest message digest get instance sha digest seed digest digest msg id get bytes seed enc array arrays copy of digest seed cipher cipher cipher get instance desede cbc pkcs5padding secret key spec skspec secret key spec seed enc array desede iv parameter spec iv iv parameter spec cipher init cipher encrypt mode skspec iv final byte array cipher final password get bytes final value string base64 encode base64 final byte array exception system println exception encrypt password final value,code_block,"['java', 'node.js', 'encryption', 'des']",sha512
41009848,string buffer string buffer string buffer string message pass message digest digest message digest get instance hashed bytes digest digest message get bytes utf hashed bytes length string buffer append integer string hashed bytes 0xff 0x100 substring string buffer string no such algorithm exception ex system println test string buffer,code_block,"['java', 'php', 'android', 'hash', 'passwords']",sha512
39047468,string poloniex secret key secret key string poloniex api key key todo api key main string args access poloniex ioexception todo auto generated block print stack trace generate nonce date date get time access poloniex ioexception string nonce big decimal polo2 generate nonce string string connection string https poloniex com trading api string query args command return balances string hmac512 hmac512digest query args poloniex secret key produce output byte array output stream byte array output stream writer writer output stream writer utf writer append query args closeable http client http client http clients create default http post post http post connection string post set header key poloniex api key post set header sign hmac512 post set entity byte array entity byte array list name value pair params array list params add basic name value pair nonce nonce closeable http response response null scanner null post set entity url encoded form entity params response http client execute post system println response get status line http entity entity response get entity scanner entity get content next system println next entity utils consume entity close response close string hmac512digest string msg string key string mac sha mac sha mac mac get instance hmac sha512 secret key spec key spec secret key spec key string get bytes hmac sha512 sha mac init key spec mac data sha mac final msg get bytes hex encode hex string mac data invalid key exception exception e1 todo auto generated block e1 print stack trace null,code_block,"['java', 'api', 'post', 'secret-key']",sha512
3124994,digest message digest md null md message digest get instance sha no such algorithm exception digest digest md digest string get bytes,code_block,"['java', 'openssl', 'message', 'digest', 'sha']",sha512
57322735,string generate checksum string request id string validation string no such algorithm exception no such padding exception invalid key exception bad padding exception iv parameter spec iv iv parameter spec cipher cipher cipher get instance aes cbc pkcs5padding message digest digest message digest get instance sha digest seed digest digest request id get bytes seed enc array arrays copy of digest seed secret key spec skspec secret key spec seed enc array aes cipher init cipher encrypt mode skspec iv final byte array cipher final validation string get bytes string final value string base64 encode base64 final byte array utf final value,function,"['java', 'php', 'encryption', 'checksum', 'block-cipher']",sha512
41581286,string encode sha512 string input message digest md message digest get instance sha digest md digest input get bytes utf 16le string format 0128x big integer digest,function,"['java', 'c#', 'encryption', 'sha512']",sha512
