id,text,question_code_type,tags,class
11715800,start tomcat tomcat create tomcat try tomcat start exception runtime exception failed start web server tomcat tomcat private tomcat create tomcat tomcat tomcat tomcat tomcat set base dir file utils get temp directory get absolute path tomcat set connector create connector eliding webapp session access log setup tomcat private connector create connector connector connector connector connector set port context get web server port connector set scheme https connector set secure true prepare key store context get listening host connector set attribute address context get listening address connector set attribute sslenabled true bind start instead init port closed faster shutdown still another problem stop seems shutdown truly complete connector set attribute bind on init false connector set attribute keystore file keystore connector set attribute keystore pass password connector set attribute client auth false connector set attribute ssl protocol tls connector set attribute key alias context get listening host connector set attribute key pass password connector,function,"['java', 'tomcat', 'connector']",tls
38971038,route assistant activity activity on map ready callback public google maps directions response dir res public google maps distance response dis res public string json string private string maps apikey private string directions base url private string distance base url map fragment map fragment private progress dialog progress public create bundle saved instance state create saved instance state set content view layout activity ra route assisstant map fragment map fragment get fragment manager find fragment by id id ra map progress progress dialog route assistant activity progress set title please wait progress set message retrieving data server progress set indeterminate true application info app info get package manager get application info get package name package manager get meta data app info meta data null maps apikey app info meta data get string com google android maps v2 api key directions base url app info meta data get string com google android maps directions base url distance base url app info meta data get string com google android maps distance base url package manager name not found exception log meta error meta data found please check manifest meta data package names print stack trace test string directions url directions base url origin destination key maps apikey string distance url distance base url units metric origins destinations key maps apikey log ca debug url directions url log ca debug url distance url configuration sync task execute distance url distance configuration sync task execute directions url direction map fragment get map async override public map ready google map google map lat lng rajagiriya lat lng string points dir res get routes get get overview polyline list lat lng list poly util decode points google map set my location enabled true google map get ui settings set rotate gestures enabled true google map move camera camera update factory new lat lng zoom rajagiriya google map add marker marker options title rajagiriya snippet my place position rajagiriya google map add polyline polyline options geodesic false add all list color color red width private configuration sync task async task string void string override pre execute progress show override string in background string params string url params string type params log ca debug get class get simple name real url url log ca debug get class get simple name in background requesting content json string request content url output null stop current task json string null log ca debug get class get simple name stopping async task cancel true log ca debug get class get simple name async task stopped type override post execute string types types equals ignore case distance dis res gmaps distance response jsondeserializer deserialize json string types equals ignore case directions dir res gmaps directions response jsondeserializer deserialize json string progress dismiss public string request content string url log ca debug get class get simple name url url url url obj url url https urlconnection con https urlconnection url obj open connection con set chunked streaming mode con set request method get sslcontext sc sslcontext get instance tls sc init null null secure random con set sslsocket factory sc get socket factory input stream client response string json string status con get response code status http urlconnection http bad request log ca debug get class get simple name bad request json string null log ca debug get class get simple name converting stream to string client response con get input stream json string convert stream to string client response log ca debug get class get simple name json string json string json string ioexception no such algorithm exception key management exception log ca debug get class get simple name error creating input stream print stack trace null public string convert stream to string input stream buffered reader reader buffered reader input stream reader string builder sb string builder string line null line reader read line null sb append line ioexception close ioexception sb string,class,"['java', 'android', 'android-asynctask']",tls
47395017,dummy sslsocket factory sslsocket factory logger log logger factory get logger dummy sslsocket factory sslsocket factory factory dummy sslsocket factory sslcontext ssl context sslcontext get instance tls trust manager trust managers trust manager dummy trust manager ssl context init null trust managers java security secure random factory ssl context get socket factory exception runtime camel exception error creating dummy sslsocket factory get message must provide get default operation java mail able use factory socket factory get default log warn camel using dummy sslsocket factory sslsocket factory used testing purpose dummy sslsocket factory string get default cipher suites factory get default cipher suites string get supported cipher suites factory get supported cipher suites socket create socket socket socket string host port auto close ioexception factory create socket socket host port auto close socket create socket string host port ioexception factory create socket host port socket create socket string host port inet address local address local port ioexception factory create socket host port local address local port socket create socket inet address host port ioexception factory create socket host port socket create socket inet address address port inet address local address local port ioexception factory create socket address port local address local port socket create socket ioexception must create socket method factory create socket,class,"['java', 'inheritance', 'composition', 'sslcontext']",tls
5780480,sslserver main string args string ks name key jks ks pass password char array ct pass password char array key store ks key store get instance jks ks load file input stream ks name ks pass key manager factory kmf key manager factory get instance sun x509 kmf init ks ct pass sslcontext sc sslcontext get instance tls sc init kmf get key managers null null sslserver socket factory ssf sc get server socket factory sslserver socket sslserver socket ssf create server socket system println server started listening port sslsocket sslsocket accept buffered writer buffered writer output stream writer get output stream write http ok write content type text html write html body hello world body html flush close close exception print stack trace,class,"['java', 'android', 'ssl', 'client']",tls
11966005,mail sender authenticator string user string password string string string port string sport string host string subject string body auth debuggable multipart multi mail sender host myserver com port sport user password subject body debuggable true auth true multi mime multipart there something wrong mail cap javamail find handler multipart mixed part bit needs added mailcap command map mc mailcap command map command map get default command map mc add mailcap text html java content handler com sun mail handlers text html mc add mailcap text plain java content handler com sun mail handlers text plain mc add mailcap multipart java content handler com sun mail handlers multipart mixed mc add mailcap message rfc822 java content handler com sun mail handlers message rfc822 command map set default command map mc mail sender string user string password user user password password send exception properties props set properties session session session get instance props session set debug true mime message msg mime message session msg set from internet address internet address address to internet address length length address to internet address msg set recipients mime message recipient type to address to msg set subject subject msg set sent date date body part message body part mime body part message body part set text body multi add body part message body part msg set content multi transport transport session get transport smtps transport connect host user password transport send message msg msg get all recipients transport close true exception print stack trace false add attachment string filename exception body part message body part mime body part data source source file data source filename message body part set data handler data handler source message body part set file name filename multi add body part message body part override password authentication get password authentication password authentication user password properties set properties properties props properties props put mail smtp host host debuggable props put mail debug true auth props put mail smtp auth true props put mail smtp ssl enable false props put mail smtp ssl trust props put mail smtp port port props put mail smtp socket factory port sport props put mail smtp socket factory javax net ssl sslsocket factory props put mail smtp socket factory fallback true props set property mail smtp ssl enable true props set property mail smtp ssl socket factory dummy sslsocket factory props set property mail smtp ssl socket factory fallback false props put mail smtp starttls enable false props set to string address address set from string address address set subject string subject subject subject set body string body body body,class,"['java', 'android', 'exception', 'smtp', 'javamail']",tls
35895582,main string args properties ser dto dto properties ser dto dto set email auth true dto set email starttls enable true dto set email host outlook office365 com dto set email port dto set email password dto set email from test mail com dto set email user test mail com string gmail com string subject mail testing string message hello send html email dto subject message address exception todo auto generated block print stack trace messaging exception todo auto generated block print stack trace send html email properties ser dto dto string string subject string message address exception messaging exception sets smtp server properties properties properties properties properties put mail smtp host dto get email host properties put mail smtp port dto get email port properties put mail smtp auth dto get email auth properties put mail smtp starttls enable dto get email starttls enable string user dto get email user string password dto get email password creates session authenticator authenticator auth authenticator password authentication get password authentication password authentication user password session session session get instance properties auth creates mail message message message content mime message session message content set from internet address dto get email from internet address adress array internet address parse message content set recipients message recipient type to adress array message content set subject subject message content set sent date date set plain text message message content set content message text html sends mail transport send message content,function,"['java', 'email', 'outlook', 'javamail', 'office365']",tls
45227712,cluster get cluster string trust store location string trust store password string key store loc string key store pass string host unrecoverable key exception cluster cluster sslcontext sslcontext null input stream trust store stream client to node get resource as stream trust store location key store keystore key store get instance jks trust chars trust store password char array keystore load trust store stream trust chars trust manager factory trust manager factory trust manager factory get instance trust manager factory get default algorithm trust manager factory init keystore trust manager trust managers trust manager factory get trust managers input stream key store stream client to node get resource as stream key store loc key store key store key store get instance jks pwd key store key store pass char array key store load key store stream pwd key store key manager factory key manager factory key manager factory get instance key manager factory get default algorithm key manager factory init key store key store pass char array key manager key managers key manager factory get key managers sslcontext sslcontext get instance tls sslcontext init key managers trust managers secure random exception print stack trace string ciphers tls dhe rsa with aes gcm sha256 jdk ssloptions ssl options jdk ssloptions builder sslcontext sslcontext cipher suites ciphers build cluster cluster builder add contact point host ssl ssl options build cluster,function,"['java', 'cassandra', 'spring-data']",tls
25094186,string key store type key store get default type key store key store key store get instance key store type key store load context get resouces open raw resource raw mykeystore mypass char array string keyalg key manager factory get default algorithm key manager factory kmf key manager factory get instance keyalg kmf init key store mypass char array sslcontext ssl context sslcontext get instance tls ssl context init kmf get key managers null null sslserver socket server socket sslserver socket ssl context get server socket factory create server socket sslsocket ssl socket sslsocket ssl server socket accept shown create buffered reader ssl socket get input stream loop incoming messages,code_block,"['java', 'android', 'ssl', 'ssl-certificate', 'sslhandshakeexception']",tls
21909799,originally posted available http blogs sun com andreas resource install cert java use java install cert hostname example java install cert ecc fedora redhat com import javax net ssl import java io import java net socket import java security key store import java security message digest import java security cert certificate exception import java security cert x509certificate class used add server certificate key store trusted certificates public install cert main string args exception string host port passphrase args length args length string args split host port length integer parse int string args length changeit args passphrase char array system println usage java install cert port passphrase file file file jssecacerts file file false sep file separator char file dir file system get property java home sep lib sep security file file dir jssecacerts file file false file file dir cacerts system println loading key store file input stream file input stream file key store ks key store get instance key store get default type ks load passphrase close sslcontext context sslcontext get instance tls trust manager factory tmf trust manager factory get instance trust manager factory get default algorithm tmf init ks x509trust manager default trust manager x509trust manager tmf get trust managers saving trust manager tm saving trust manager default trust manager context init null trust manager tm null sslsocket factory factory context get socket factory system println opening connection host port sslsocket socket sslsocket factory create socket host port socket set so timeout system println starting ssl handshake socket start handshake socket close system println system println no errors certificate already trusted sslexception system println print stack trace system x509certificate chain tm chain chain null system println could obtain server certificate chain buffered reader reader buffered reader input stream reader system system println system println server sent chain length certificate system println message digest sha1 message digest get instance sha1 message digest md5 message digest get instance md5 chain length x509certificate cert chain system println subject cert get subject dn system println issuer cert get issuer dn sha1 update cert get encoded system println sha1 hex string sha1 digest md5 update cert get encoded system println md5 hex string md5 digest system println system println enter certificate add trusted keystore quit string line reader read line trim line length integer parse int line number format exception system println key store changed x509certificate cert chain string alias host ks set certificate entry alias cert output stream file output stream jssecacerts ks store passphrase close system println system println cert system println system println added certificate keystore jssecacerts using alias alias hexdigits 0123456789abcdef char array string hex string bytes string builder sb string builder bytes length bytes 0xff sb append hexdigits sb append hexdigits sb append sb string saving trust manager x509trust manager x509trust manager tm x509certificate chain saving trust manager x509trust manager tm tm tm x509certificate get accepted issuers unsupported operation exception check client trusted x509certificate chain string auth type certificate exception unsupported operation exception check server trusted x509certificate chain string auth type certificate exception chain chain tm check server trusted chain auth type,class,"['java', 'security', 'sockets', 'ssl', 'proxy']",tls
38010760,messaging import java io ioexception import org jivesoftware smack abstract xmppconnection import org jivesoftware smack message listener import org jivesoftware smack connection configuration security mode import org jivesoftware smack smack exception import org jivesoftware smack smack exception not connected exception import org jivesoftware smack xmppexception import org jivesoftware smack chat chat import org jivesoftware smack chat chat manager import org jivesoftware smack chat chat manager listener import org jivesoftware smack chat chat message listener import org jivesoftware smack packet message import org jivesoftware smack tcp xmpptcpconnection import org jivesoftware smack tcp xmpptcpconnection configuration public xmpplistener message listener abstract xmppconnection connection xmpplistener string host port string service name xmpptcpconnection configuration config xmpptcpconnection configuration builder set host host set service name service name set security mode security mode ifpossible set port port set debugger enabled true build connection xmpptcpconnection config connect connection connect smack exception ioexception xmppexception print stack trace login string user name string password xmppexception connection login user name password smack exception ioexception print stack trace send message string message string xmppexception chat chat chat manager get instance for connection create chat chat send message message not connected exception print stack trace listen chat string name chat manager manager chat manager get instance for connection manager add chat listener chat manager listener override chat created chat chat created locally system println created chat chat add message listener chat message listener override process message chat chat message message system println message get body disconnect connection disconnect override process message message message system println received something message get body,class,"['java', 'xmpp', 'smack']",tls
