id,text,question_code_type,tags,class
45401965,override protected configure http security http exception http csrf disable cors anonymous authorize requests ant matchers permit all ant matchers http method post users login permit all request authenticated we filter api login requests add filter before jwt login filter users login authentication manager username password authentication filter add filter before jwt authentication filter username password authentication filter,function,"['java', 'spring', 'security', 'spring-security']",token based authentication
21996162,main string args system set property java security krb5 conf develop xyz kerberos test conf krb5 conf system set property javax security auth use subject creds only false system set property java security auth login config develop xyz kerberos test conf login conf credentials jaas credentials credentials string get password null principal get user principal null credentials provider creds provider basic credentials provider creds provider set credentials auth scope null null jaas credentials registry auth scheme provider auth scheme registry registry builder auth scheme provider create register auth schemes spnego spnego scheme factory build closeable http client httpclient http clients custom set default auth scheme registry auth scheme registry set default credentials provider creds provider build http get httpget http get endpoint request line request line httpget get request line closeable http response response httpclient execute httpget status line status response get status line http entity entity response get entity entity null entity utils consume entity response close client protocol exception print stack trace ioexception print stack trace httpclient close ioexception print stack trace,function,"['java', 'iis', 'kerberos', 'apache-httpclient-4.x', 'spnego']",token based authentication
39989941,get path authenticate produces media type application json public response authenticate header param username string username header param password string password jsonexception ioexception jose exception service service service get instance employee profile employee profile service authenticate username password temporarily httponly secure false test new cookie cookie new cookie jwt service get token null null null false false response status cookie cookie entity employee profile build response status entity null build,function,"['javascript', 'java', 'json', 'rest', 'cookies']",token based authentication
51635327,enable web security configuration public security config web security configurer adapter autowired private jwt auth filter auth filter autowired private jwt authentication provider authentication provider autowired private jwt authentication entry point authentication entry point override protected configure authentication manager builder auth exception auth authentication provider authentication provider override protected configure http security http exception http csrf ignoring ant matchers token http csrf disable http cors authorize requests ant matchers http method options permit all ant matchers token permit all ant matchers rest authenticated add filter before auth filter username password authentication filter exception handling authentication entry point authentication entry point bean cors configuration source cors configuration source cors configuration configuration cors configuration configuration set allowed origins arrays list configuration set allowed methods arrays list get post options put delete configuration set allow credentials true url based cors configuration source source url based cors configuration source source register cors configuration rest configuration source,class,"['java', 'rest', 'spring-boot', 'cors']",token based authentication
19857502,controller public project controller string remember me active autowired security context repository repository autowired remember me services remember me services request mapping value login method request method get object login http servlet request request http servlet response response system println get login system println security context holder get context get authentication system println request get session get id model and view login request mapping value login method request method post response body object login request param username string username request param password string password request param spring security remember string remember me http servlet request request http servlet response response system println post login system println security context holder get context get authentication system println request get session get id username password authentication token token username password authentication token username password security context context security context holder get context context set authentication token repository save context context request response remember me active equals remember me remember me services login success request response token ok bad credentials exception bad credentials exception exception print stack trace exception get message request mapping value test method request method get object test http servlet request request http servlet response response system println get test system println security context holder get context get authentication system println request get session get id model and view test,class,"['java', 'spring', 'spring-security', 'glassfish', 'single-sign-on']",token based authentication
58010809,enable web flux security public security configuration bean security web filter chain security web filter chain authentication web filter authentication web filter server http security http http csrf disable http basic disable form login disable logout disable add filter at authentication web filter security web filters order authentication authorize exchange exchange authenticated build bean authentication web filter authentication web filter security token based authentication manager authentication manager token authentication converter token authentication converter authentication web filter authentication web filter authentication web filter authentication manager authentication web filter set server authentication converter token authentication converter authentication web filter set security context repository web session server security context repository authentication web filter,class,"['java', 'spring', 'spring-security', 'spring-webflux']",token based authentication
56402089,http client http client default http client http post http post http post https dmyzda2o ui nabu casa api services script turn http post add header accept language list name value pair name value pair array list name value pair name value pair add basic name value pair authorization bearer ey j0ni j9 ey jpc3mi oi jm owvk zdi5yj y2mte0mjc3ynddm mz iw mwi2zcis imlhd ci6mtu1otiw mj yw ocwi zxhw ijox odc0ntyy nj a4f heb3b6kp w6oz axc lum s8dl jwm zvawfn0lg84se bzgp name value pair add basic name value pair content type application json name value pair add basic name value pair entity id script gt11 log name value entered try http post set entity url encoded form entity name value pair http utf,code_block,"['java', 'android', 'httpclient', 'restful-authentication']",token based authentication
57002484,token authentication provider authentication provider user service user service token authentication provider user service user service user service user service override authentication authenticate authentication authentication authentication exception bad credentials exception hello override supports class class system println class token authentication provider assignable from class true,class,"['java', 'spring-boot', 'spring-security', 'jwt']",token based authentication
57477346,from user lookup provider public user model get user by id string id realm model realm system println id id realm realm storage id storage id storage id id storage id get external id method invoked obtain username embeded id parameter string username storage id get external id system println name username get user by username username realm from user lookup provider this method invoked keycloak login page user logs public user model get user by username string username realm model realm system println username username realm realm user model user model loaded users get username user model null string password properties get property username password null user model create user model realm username system println new user model system println user model string loaded users put username user model user model protected user model create user model realm model realm string username abstract user adapter session realm model override string get username username,function,"['java', 'keycloak', 'keycloak-services']",token based authentication
56969047,enable web security public security config web security configurer adapter logger logger logger factory get logger security config autowired configure global authentication manager builder auth pre authenticated authentication provider provider pre authenticated authentication provider provider set pre authenticated user details service xyz pre authenticated granted authorities user details service auth authentication provider provider try see override configure http security http exception http add filter before xyz token request header authentication filter request header authentication filter csrf disable authorize requests ant matchers actuator permit all request authenticated bean xyz token request header authentication filter xyz token request header authentication filter exception xyz token request header authentication filter filter xyz token request header authentication filter filter set authentication manager authentication manager filter,class,"['java', 'spring', 'spring-boot', 'spring-security', 'spring-boot-actuator']",token based authentication
29684505,authenticate user details admin user details service load user by username admin run as user token token run as user token uuid random uuid string admin admin get authorities null null authentication user authentication manager authenticate token user authenticated security context sc security context impl sc set authentication user security context holder set context sc,function,"['java', 'spring', 'authentication', 'spring-security', 'spring-3']",token based authentication
50233206,request mapping login public string login request param value error required false string error request param value logout required false string logout model model error null model add attribute error invalid username passwrd logout null model add attribute msg logged successfully login,function,"['java', 'spring', 'jsp', 'spring-security']",token based authentication
35622563,override protected configure http security http exception these unprotected endpoints http authorize requests ant matchers string login error login failed permit all protect endpoints login page http authorize requests request any authority user admin form login login page login failure url login failed success handler custom authentication success handler logout logout request matcher ant path request matcher logout http exception handling access denied handler access denied handler override handle http servlet request request http servlet response response access denied exception access denied exception ioexception servlet exception access denied exception csrf exception response send redirect request get context path logout,function,"['java', 'spring-boot', 'spring-security-oauth2']",token based authentication
49580627,com debt server authentication import org springframework http http method import org springframework security config annotation authentication builders authentication manager builder import org springframework security config annotation web builders http security import org springframework security config annotation web configuration enable web security import org springframework security config annotation web configuration web security configurer adapter import org springframework security config http session creation policy import org springframework security core userdetails user details service import org springframework security crypto bcrypt bcrypt password encoder import org springframework web cors cors configuration import org springframework web cors cors configuration source import org springframework web cors url based cors configuration source import org springframework context annotation bean enable web security public web security web security configurer adapter user details service user details service bcrypt password encoder crypt password encoder web security user details service impl user details service bcrypt password encoder crypt password encoder user details service user details service crypt password encoder crypt password encoder override configure http security http exception http cors csrf disable authorize requests ant matchers http method post security constants sign up url permit all request authenticated add filter jwtauthentication filter authentication manager add filter jwtauthorization filter authentication manager disables session creation spring security session management session creation policy session creation policy stateless override configure authentication manager builder auth exception auth user details service user details service password encoder crypt password encoder bean cors configuration source cors configuration source url based cors configuration source source url based cors configuration source source register cors configuration cors configuration apply permit default values source,class,"['java', 'spring', 'spring-security', 'jwt']",token based authentication
51233022,add authentication http servlet response res authentication auth string concatted roles granted authority ga auth get authorities equals concatted roles concatted roles ga get authority concatted roles ga get authority string jwt jwts builder set subject auth get name claim roles concatted roles set expiration date system current time millis expirationtime sign with signature algorithm hs512 secret compact res add header header string token prefix jwt add header res get writer append token token prefix jwt add body exception print stack trace,function,"['java', 'spring', 'spring-boot', 'spring-security', 'jwt']",token based authentication
45982559,jwt authentication filter abstract authentication processing filter public jwt authentication filter override protected requires authentication http servlet request request http servlet response response true override public authentication attempt authentication http servlet request request http servlet response response authentication exception string header request get header authorization header null header starts with bearer jwt token missing exception no jwt token found request headers string auth token header substring jwt authentication token auth request jwt authentication token auth token get authentication manager authenticate auth request override protected successful authentication http servlet request request http servlet response response filter chain chain authentication auth result ioexception servlet exception successful authentication request response chain auth result as authentication http header success need request normally response resource secured chain filter request response,class,"['java', 'rest', 'spring-mvc', 'spring-security', 'jwt']",token based authentication
51956777,configuration enable web security import encoders public web security config web security configurer adapter autowired user details service user details service impl autowired password encoder user password encoder override configure authentication manager builder auth exception auth user details service user details service impl password encoder user password encoder override bean authentication manager authentication manager bean exception authentication manager bean override configure http security http exception http csrf disable form login permit all authorize requests ant matchers login error permit all request authenticated,class,"['java', 'spring-security', 'oauth-2.0', 'spring-security-oauth2']",token based authentication
57234905,graph qlmutation name create problem public problem create problem graph qlroot context default global context object context graph qlargument name problem input valid problem problem input web request request web request context get native request string token request get header token,function,"['java', 'graphql-spqr']",token based authentication
6581177,authenticate user and set session http servlet request request user username password authentication token token username password authentication token get username get password problem this password is hashed generate session one exist request get session token set details web authentication details request authentication authenticated user authentication manager authenticate token security context holder get context set authentication authenticated user request get session set attribute http session security context repository spring security context key security context holder get context,function,"['java', 'servlets', 'spring-security']",token based authentication
40802877,main string args twitter exception configuration builder cf configuration builder cf set debug enabled true set oauth consumer key 3tt35ow myxxxxxxis lq vdf0y set oauth consumer secret mtb kxwv cgrc4k3xxxxxxxxxxxxxxxh j1mwet efzn rz set oauth access token sonr eaxxxxxxxxxd d4uzcm buu p4vs vmw z4zh hqf5 set oauth access token secret e1w r16ral a2ht0xxxxxxxxxxnh n5iv9izk1k1mag ox twitter factory tf twitter factory cf build twitter4j twitter twitter tf get instance list status status twitter get home timeline status st status system println st get user get name st get text,function,"['java', 'twitter', 'oauth-2.0']",token based authentication
33130156,com sprhib init import java util properties import javax annotation resource import javax sql data source import org springframework context annotation bean import org springframework context annotation component scan import org springframework context annotation configuration import org springframework context annotation import resource import org springframework context annotation property source import org springframework core env environment import org springframework jdbc datasource driver manager data source import org springframework orm hibernate4 hibernate transaction manager import org springframework orm hibernate4 local session factory bean import org springframework transaction annotation enable transaction management import org springframework web servlet config annotation enable web mvc import org springframework web servlet view jstl view import org springframework web servlet view url based view resolver configuration enable web mvc component scan com sprhib enable transaction management import resource classpath spring security xml property source classpath application properties public web app config string property name database driver db driver string property name database password db password string property name database url db url string property name database username db username string property name hibernate dialect hibernate dialect string property name hibernate show sql hibernate show sql string property name entitymanager packages to scan entitymanager packages scan resource environment env bean data source data source driver manager data source data source driver manager data source data source set driver class name env get required property property name database driver data source set url env get required property property name database url data source set username env get required property property name database username data source set password env get required property property name database password data source bean local session factory bean session factory local session factory bean session factory bean local session factory bean session factory bean set data source data source session factory bean set packages to scan env get required property property name entitymanager packages to scan session factory bean set hibernate properties hib properties session factory bean properties hib properties properties properties properties properties put property name hibernate dialect env get required property property name hibernate dialect properties put property name hibernate show sql env get required property property name hibernate show sql properties bean hibernate transaction manager transaction manager hibernate transaction manager transaction manager hibernate transaction manager transaction manager set session factory session factory get object transaction manager bean url based view resolver setup view resolver url based view resolver resolver url based view resolver resolver set prefix web inf pages resolver set suffix jsp resolver set view class jstl view resolver,class,"['java', 'spring']",token based authentication
54932011,response send request request request body string url http method http method response response body rest template rest template rest template http entity multi value map string string request http entity request body get body security headers response entity response response rest template exchange url http method request response body get class response get body,function,"['java', 'spring', 'resttemplate']",token based authentication
57385820,access token access token access token get current access token logged in access token null access token expired log frag login status string value of logged in scope scope https www googleapis com auth yt analytics readonly scope two scope https www googleapis com auth youtube readonly gso google sign in options builder google sign in options default sign in request email request scopes scope scope two request id token get string string server client id request server auth code get string string server client id build google sign in client google sign in get client get activity gso,code_block,"['java', 'android', 'youtube-data-api', 'google-signin']",token based authentication
37924119,authentication application string prefs name user data string default context context shared preferences shared preferences shared preferences editor editor string token authentication activity context context context shared preferences context get shared preferences prefs name context mode private editor shared preferences edit token shared preferences get string cookie default speichert token den shared preferences set token string token log cookie token editor put string cookie token,class,"['java', 'android', 'cookies', 'nullpointerexception', 'android-sharedpreferences']",token based authentication
14155971,dropbox test app key secret dropbox developer website gives app string app key app key string app secret app secret define access type dropbox api object access type access type access type app folder dropbox api web auth session dbapi main string args exception initialize goods session app key pair app keys app key pair app key app secret web auth session session web auth session app keys access type initialize dropbox api object dbapi dropbox api web auth session session get ready user input scanner input scanner system open file stores tokens must exist blank file file tokens file file tokens system println enter authenticate test reauthentication string command input next command equals present user url allow app access dropbox account system println please go url hit allow dbapi get session get auth info url access token pair token pair dbapi get session get access token pair wait user allow app browser system println finished allowing enter next input next equals next request token pair tokens request token pair token pair key token pair secret dbapi get session retrieve web access token tokens print writer token writer print writer tokens file token writer println session get access token pair key token writer println session get access token pair secret token writer close system println authentication successful dropbox exception todo auto generated block print stack trace command equals scanner token scanner scanner tokens file initiate scanner read tokens token file string access token key token scanner next line read key string access token secret token scanner next line read secret token scanner close close scanner re auth access token pair auth tokens access token pair access token key access token secret dbapi get session set access token pair auth tokens system println re authentication sucessful run test command system println hello dbapi account info display name,class,"['java', 'ssl', 'dropbox', 'dropbox-api']",token based authentication
50416521,jwtauthentication filter username password authentication filter authentication manager authentication manager autowired user repo user repo autowired account service account service autowired jwtauthentication filter authentication manager authentication manager authentication manager authentication manager override autowired set authentication manager authentication manager authentication manager set authentication manager authentication manager override authentication attempt authentication http servlet request request http servlet response response authentication exception app user app user null app user object mapper read value request get input stream app user ioexception runtime exception get message authentication manager authenticate username password authentication token app user get username app user get password override successful authentication http servlet request request http servlet response response filter chain chain authentication auth result ioexception servlet exception user spring user user auth result get principal string jwt jwts builder set subject spring user get username set expiration date system current time millis security constants expiration time sign with signature algorithm hs256 security constants secret claim roles spring user get authorities compact app user app user repo find by username spring user get username long id app get id object mapper object mapper object mapper json node json jwt object mapper read tree jwt object node json jwt put user id id response add header security constants header string security constants token prefix object mapper write value as string json jwt,class,"['java', 'spring', 'spring-boot', 'jwt', 'token']",token based authentication
29232360,jwtauthentication token abstract authentication token serial version uid 1l object principal object details collection authorities jwtauthentication token string jwt token null set authenticated true must use override jwtparser parser jwtparser jwt token principal parser get sub set details authorities override object get credentials override object get principal principal set details authorities string username principal string spring user details adapter adapter spring user details adapter username details adapter authorities collection adapter get authorities override collection get authorities authorities,class,"['java', 'oauth', 'spring-security', 'jwt']",token based authentication
59950812,configuration enable web security public security config web security configurer adapter request matcher protected urls ant path request matcher v1 override configure http security http exception http session management session creation policy session creation policy stateless add filter before authentication filter anonymous authentication filter authorize requests request matchers protected urls authenticated csrf disable form login disable http basic disable logout disable bean authentication filter authentication filter exception authentication filter filter authentication filter protected urls filter setup filter set authentication manager authentication manager filter,class,"['java', 'spring', 'spring-security', 'integration-testing']",token based authentication
40708214,rest controller request mapping api public user jwtcontroller inject token provider token provider inject authentication manager authentication manager request mapping value authenticate method request method post consumes application json response entity authorize request body user user http servlet response response username password authentication token authentication token username password authentication token user get username user get password authentication authentication authentication manager authenticate authentication token security context holder get context set authentication authentication collection simple granted authority user authorities collection simple granted authority security context holder get context get authentication get authorities simple granted authority auth check user authorities auth check string equals ldap user role string jwt token provider create token authentication true response add header jwtconfigurer authorization header bearer jwt response entity ok jwttoken jwt response entity http status forbidden authentication exception exception response entity collections singleton map authentication exception exception get localized message http status unauthorized,class,"['java', 'spring-security', 'spring-boot', 'jwt']",token based authentication
39807676,request mapping value auth signup method request method post response status http status ok public test system err println controller reached request mapping value auth login method request method post response status http status ok public test2 system err println controller reached,function,"['java', 'spring', 'spring-mvc', 'spring-security']",token based authentication
9410472,imapsslstore connect to imap string host port string user email string oauth token string oauth token secret oauth consumer consumer debug exception properties props properties props put mail imaps sasl enable true props put mail imaps sasl mechanisms xoauth props put xoauth sasl client factory oauth token prop oauth token props put xoauth sasl client factory oauth token secret prop oauth token secret props put xoauth sasl client factory consumer key prop consumer consumer key props put xoauth sasl client factory consumer secret prop consumer consumer secret session session session get instance props session set debug debug urlname unused url name null imapsslstore store imapsslstore session unused url name string empty password anonymous store connect host port user email empty password store,function,"['java', 'oauth']",token based authentication
