id,text,question_code_type,tags,class
16624025,socket client socket server ip port output stream client get output stream input stream client get input stream string test tue231363 string buffer response string buffer response write test get bytes flush system println waiting response read end of response system print response append client close system println response string,code_block,"['java', 'networking', 'telnet']",vpn
37267110,socket socket socket socket bind inet socket address protect socket log tag socket log tag socket not socket connect inet socket address ip packet get destination ip ip packet get dst port log tag socket connected socket connected socket get output stream write get tcpheader get ip header packet array byte buffer get ip header byte buffer packet packet position byte buffer ip header byte buffer allocate byte buffer data byte buffer allocate packet limit packet get ip header array packet get data array packet limit byte buffer ip header data byte buffer get tcpheader byte buffer packet packet position byte buffer tcp header byte buffer allocate byte buffer data byte buffer allocate packet limit packet get tcp header array packet get data array packet limit byte buffer tcp header data byte buffer response packet byte buffer allocate input stream socket input stream socket get input stream response length socket input stream read response packet array response length log tag server response log tag length response length byte buffer trimmed response data byte buffer allocate response length system arraycopy response data array trimmed response data array response length string resp response length resp string value of response data get log tag response data resp byte buffer final packet byte buffer allocate response length byte buffer swapped ip header swap src dst address get ip header packet byte buffer swapped tcp header swap tcpsrc dst get tcpheader get ip header packet final packet put swapped ip header array final packet put swapped tcp header array final packet put server response data array packet fin pack debug packet final packet log vpn final packet packet size fin pack get total length fin pack get source ip src port fin pack get src port going fin pack get destination ip dst port fin pack get dst port write final packet array exception log tag exception print stack trace response length socket input stream read server response array,code_block,"['java', 'android', 'sockets', 'tcp', 'packet-capture']",vpn
55189772,intent intent intent splash screen activity dnsservice stop service intent dnsservice vpn service string dns model dnsmodel intent vpn service builder builder vpn service builder parcel file descriptor file descriptor thread thread run true datagram channel tunnel dnsmodel dns model string action connect dnsservice get name start string action disconnect dnsservice get name stop override destroy stop self stop foreground true destroy override create create set tunnel datagram channel tunnel tunnel tunnel set file descriptor parcel file descriptor file descriptor file descriptor file descriptor override start command intent intent p1 p2 thread thread dns model intent get parcelable extra dns model set file descriptor builder set session dnsservice get text string app name string add address add dns server dns model get first dns add dns server dns model get second dns establish set tunnel datagram channel open tunnel connect inet socket address protect tunnel socket run thread sleep 100l exception exception exception print stack trace file descriptor null file descriptor close set file descriptor null ioexception print stack trace thread start service start sticky,code_block,"['java', 'android', 'service', 'android-service', 'vpn']",vpn
50688635,no chunk encoded jsfilter once per request filter override filter internal http servlet request request http servlet response response filter chain filter chain servlet exception ioexception val unversioned servlet path request get request uri substring request get request uri index of js val request file path get servlet context get real path unversioned servlet path request file path null file requested file file request file path requested file exists val file size math int exact requested file length val response get writer val wrapped response non encoded response response file size filter chain filter request wrapped response write wrapped response string utf close filter chain filter request response non encoded response byte array output stream baos string string baos string utf baos string constructs response adaptor wrapping given response param response the response wrapped illegal argument exception response null non encoded response http servlet response response integer file size response set content length file size set buffer size file size set content length file size set buffer size file size baos byte array output stream file size override print writer get writer print writer baos val file contents files read all bytes paths get request file path write string file contents,code_block,"['java', 'tomcat', 'servlet-filters', 'chunked-encoding', 'embedded-tomcat-8']",vpn
51564025,allow response false string response start server server socket server socket server socket true socket connection socket server socket accept buffered input stream buf inp stream buffered input stream connection socket get input stream buffered output stream buf out stream buffered output stream connection socket get output stream byte array output stream content length baos byte array output stream count buf inp stream read content length baos write count count cont len get message length content length baos string content get message content buf inp stream cont len content count allow response thread sleep allow response false response data bytes response get bytes output cont len response data bytes length cont length bytes byte buffer allocate put int output cont len array byte array output stream byte array output stream write cont length bytes write response data bytes final out put bytes byte array buf out stream write final out put bytes buf out stream flush ioexception print stack trace interrupted exception print stack trace non null string get message content buffered input stream from client cont len ioexception byte array output stream content baos byte array output stream content bytes cont len cont len content baos write from client read byte array input stream bais byte array input stream content baos byte array bais read content bytes string content string content bytes log tag content content content get message length byte array output stream content length baos first four bytes arr content length baos byte array cont len big integer first four bytes arr int value content length baos byte array output stream log tag content length cont len cont len thread server thread thread runnable override run start server server thread start,code_block,"['java', 'android', 'sockets', 'inputstream', 'serversocket']",vpn
20237743,com git firewall gitvpn service vpn service handler callback runnable string tag gitvpn service string server address server port pending intent configure intent handler handler thread thread parcel file descriptor interface override start command intent intent flags start id the handler used show messages handler null handler handler stop previous session interrupting thread thread null thread interrupt start session creating thread thread thread vpn thread thread start start sticky override destroy thread null thread interrupt override handle message message message message null toast make text string message obj toast length short show true override run log tag starting inet socket address server inet socket address server address server port run server exception log tag got string interface close exception e2 ignore message msg obj handler obtain message msg obj obj disconnected handler send message msg obj datagram channel tunnel null run inet socket address server exception connected false android os debug wait for debugger create datagram channel vpn tunnel tunnel datagram channel open protect tunnel connecting avoid loopback protect tunnel socket illegal state exception cannot protect tunnel connect server tunnel connect server for simplicity use thread reading writing here put tunnel non blocking mode tunnel configure blocking false authenticate configure virtual network handshake now connected set flag show message connected true message msg obj handler obtain message msg obj obj connected handler send message msg obj thread run packets sent queued input stream file input stream file input stream interface get file descriptor allocate buffer single packet byte buffer packet byte buffer allocate length true length read packet array write outgoing packet tunnel packet limit length debug packet packet packet size protocol source destination tunnel write packet packet clear ioexception print stack trace start thread run datagram channel tunnel tunnel allocate buffer single packet byte buffer packet byte buffer allocate packets received need written output stream file output stream file output stream interface get file descriptor true read incoming packet tunnel length length tunnel read packet write incoming packet output stream write packet array length packet clear ioexception ioe ioe print stack trace start connected handshake exception interface null builder builder builder builder set mtu builder add address builder add route builder add route builder add dns server close old since parameters changed interface close exception ignore create using builder save parameters interface builder set session git vpn set configure intent configure intent establish debug packet byte buffer packet length buffer packet get log tag buffer buffer packet get version headerlength version buffer headerlength buffer 0x0f headerlength log tag ip version version log tag header length headerlength string status status header length headerlength buffer packet get dscp en buffer packet get char total length log tag total length buffer buffer packet get char identification buffer packet get char flags fragment offset buffer packet get time live buffer packet get protocol log tag protocol buffer status protocol buffer buffer packet get char header checksum string source ip buffer packet get source ip 1st octet source ip buffer source ip buffer packet get source ip 2nd octet source ip buffer source ip buffer packet get source ip 3rd octet source ip buffer source ip buffer packet get source ip 4th octet source ip buffer log tag source ip source ip status source ip source ip string dest ip buffer packet get destination ip 1st octet dest ip buffer dest ip buffer packet get destination ip 2nd octet dest ip buffer dest ip buffer packet get destination ip 3rd octet dest ip buffer dest ip buffer packet get destination ip 4th octet dest ip buffer log tag destination ip dest ip status destination ip dest ip msg obj handler obtain message msg obj obj status handler send message msg obj log tag version packet get int log tag version packet get int log tag version packet get int,class,"['java', 'android', 'networking', 'packet-capture', 'tun']",vpn
16042404,datagram channel tunnel datagram channel open connect server tunnel connect server packets sent queued input stream file input stream file input stream interface get file descriptor packets received need written output stream file output stream file output stream interface get file descriptor allocate buffer single packet byte buffer packet byte buffer allocate keep forwarding packets till something goes wrong true read outgoing packet input stream length read packet array length write outgoing packet tunnel packet limit length tunnel write packet how write pcap file packet clear,invalid,"['java', 'android', 'networking', 'network-programming', 'pcap']",vpn
44479021,native code socket jniexport jint jnicall java com class initialize socket jnienv env jobject jobj socket socket af inet sock dgram handler socket preparations jint socket java code initialize socket socket initialize socket protect socket,code_block,"['java', 'android', 'c', 'sockets', 'android-vpn-service']",vpn
17348821,hashtable env hashtable env put context initial context factory com sun jndi ldap ldap ctx factory env put context provider url ldap server local specify ssl env put context security protocol ssl fill secuirty bind variables env put context security authentication simple env put context security principal config config get security principal returns user domain local env put context security credentials config config get security credentials returns password create initial context ctx initial dir context env defined initial dir context ctx null,code_block,"['java', 'ssl', 'ldap']",vpn
29784323,create datagram channel vpn tunnel tunnel datagram channel open protect tunnel connecting avoid loopback protect tunnel socket illegal state exception cannot protect tunnel,invalid,"['java', 'android', 'sockets', 'vpn']",vpn
